iy   id it imin qn      qh      qe      qs      qf      U    RH    Tair  pres   rain   kdown  snow    ldown  fcld    wuh       xsmd    lai     kdiff   kdir    wdir
2013 1  0  5    -999.00 -999.00 -999.00 -999.00 -999.00 4.92 85.87 11.69 100.17 0.0000 0.18   -999.00 367.25 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2013 1  0  10   -999.00 -999.00 -999.00 -999.00 -999.00 4.87 85.80 11.70 100.17 0.0000 0.18   -999.00 367.34 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2013 1  0  15   -999.00 -999.00 -999.00 -999.00 -999.00 4.81 85.72 11.72 100.16 0.0000 0.17   -999.00 367.43 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2013 1  0  20   -999.00 -999.00 -999.00 -999.00 -999.00 4.75 85.65 11.73 100.16 0.0000 0.17   -999.00 367.52 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2013 1  0  25   -999.00 -999.00 -999.00 -999.00 -999.00 4.70 85.58 11.75 100.16 0.0000 0.17   -999.00 367.61 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2013 1  0  30   -999.00 -999.00 -999.00 -999.00 -999.00 4.64 85.51 11.76 100.15 0.0000 0.16   -999.00 367.70 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2013 1  0  35   -999.00 -999.00 -999.00 -999.00 -999.00 4.59 85.46 11.77 100.15 0.0000 0.15   -999.00 367.74 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2013 1  0  40   -999.00 -999.00 -999.00 -999.00 -999.00 4.54 85.45 11.78 100.15 0.0000 0.14   -999.00 367.73 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2013 1  0  45   -999.00 -999.00 -999.00 -999.00 -999.00 4.50 85.44 11.79 100.16 0.0000 0.13   -999.00 367.71 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2013 1  0  50   -999.00 -999.00 -999.00 -999.00 -999.00 4.46 85.42 11.80 100.16 0.0000 0.11   -999.00 367.70 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2013 1  0  55   -999.00 -999.00 -999.00 -999.00 -999.00 4.41 85.41 11.81 100.16 0.0000 0.10   -999.00 367.68 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2013 1  1  0    -999.00 -999.00 -999.00 -999.00 -999.00 4.37 85.40 11.82 100.16 0.0000 0.09   -999.00 367.67 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2013 1  1  5    -999.00 -999.00 -999.00 -999.00 -999.00 4.32 85.38 11.82 100.17 0.0000 0.07   -999.00 367.65 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2013 1  1  10   -999.00 -999.00 -999.00 -999.00 -999.00 4.28 85.37 11.83 100.17 0.0000 0.06   -999.00 367.64 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
2013 1  1  15   -999.00 -999.00 -999.00 -999.00 -999.00 4.23 85.36 11.84 100.17 0.0000 0.05   -999.00 367.62 -999.00 -999.0000 -999.00 -999.00 -999.00 -999.00 -999.00
