iy	id	it	imin	qn	qh	qe	qs	qf	U	RH	Tair	pres	rain	kdown	snow	ldown	fcld	wuh	xsmd	lai	kdiff	kdir	wdir
2015	1	1	0	-17.73	-999.	-999.	-999.	-999.	5.58	77.81	5.59	102.49	0.00	0.00	-999.	322.70	-999.	-999.	-999.	-999.	-999.	-999.	198.50
2015	1	2	0	-6.48	-999.	-999.	-999.	-999.	4.76	79.26	5.82	102.47	0.00	0.00	-999.	336.35	-999.	-999.	-999.	-999.	-999.	-999.	188.00
2015	1	3	0	-12.23	-999.	-999.	-999.	-999.	4.33	81.28	6.32	102.43	0.00	0.00	-999.	332.54	-999.	-999.	-999.	-999.	-999.	-999.	196.50
2015	1	4	0	-33.87	-999.	-999.	-999.	-999.	4.29	82.51	6.77	102.42	0.00	0.00	-999.	310.63	-999.	-999.	-999.	-999.	-999.	-999.	187.00
2015	1	5	0	-4.80	-999.	-999.	-999.	-999.	4.48	82.50	7.46	102.39	0.00	0.00	-999.	344.75	-999.	-999.	-999.	-999.	-999.	-999.	195.50
2015	1	6	0	-7.27	-999.	-999.	-999.	-999.	4.66	83.38	7.93	102.30	0.00	0.00	-999.	344.12	-999.	-999.	-999.	-999.	-999.	-999.	188.50
2015	1	7	0	-4.39	-999.	-999.	-999.	-999.	5.65	84.22	8.01	102.25	0.00	0.00	-999.	348.12	-999.	-999.	-999.	-999.	-999.	-999.	191.50
2015	1	8	0	-4.46	-999.	-999.	-999.	-999.	5.92	85.14	8.08	102.28	0.00	0.00	-999.	348.74	-999.	-999.	-999.	-999.	-999.	-999.	186.00
2015	1	9	0	2.72	-999.	-999.	-999.	-999.	6.18	85.55	8.04	102.25	0.00	8.86	-999.	348.27	-999.	-999.	-999.	-999.	-999.	-999.	185.00
2015	1	10	0	14.92	-999.	-999.	-999.	-999.	7.03	84.64	8.02	102.26	0.00	23.00	-999.	348.12	-999.	-999.	-999.	-999.	-999.	-999.	189.00
2015	1	11	0	18.73	-999.	-999.	-999.	-999.	7.30	84.08	8.18	102.26	0.00	27.74	-999.	348.74	-999.	-999.	-999.	-999.	-999.	-999.	192.50
2015	1	12	0	17.12	-999.	-999.	-999.	-999.	6.89	85.21	8.19	102.18	0.00	25.42	-999.	349.40	-999.	-999.	-999.	-999.	-999.	-999.	189.00
2015	1	13	0	12.24	-999.	-999.	-999.	-999.	7.09	85.32	8.34	102.11	0.00	20.20	-999.	350.05	-999.	-999.	-999.	-999.	-999.	-999.	191.00
2015	1	14	0	13.92	-999.	-999.	-999.	-999.	7.54	84.77	8.58	101.98	0.00	22.03	-999.	351.12	-999.	-999.	-999.	-999.	-999.	-999.	193.50
2015	1	15	0	6.96	-999.	-999.	-999.	-999.	7.46	84.14	9.14	101.89	0.00	13.91	-999.	353.73	-999.	-999.	-999.	-999.	-999.	-999.	195.50
2015	1	16	0	-0.92	-999.	-999.	-999.	-999.	7.67	82.62	9.83	101.81	0.00	5.33	-999.	356.25	-999.	-999.	-999.	-999.	-999.	-999.	196.50
2015	1	17	0	-5.88	-999.	-999.	-999.	-999.	8.04	81.66	10.19	101.75	0.00	0.06	-999.	357.41	-999.	-999.	-999.	-999.	-999.	-999.	201.00
2015	1	18	0	-6.52	-999.	-999.	-999.	-999.	8.03	80.25	10.31	101.67	0.00	0.00	-999.	357.50	-999.	-999.	-999.	-999.	-999.	-999.	197.00
