Year  DOY Hour  Min  Dectime     Kdown       Kup     Ldown       Lup     Tsurf        QN        QF        QS        QH        QE       Rain        Irr       Evap         RO      TotCh     SurfCh      State  NWtrState   Drainage       SMD    Zenith   Azimuth   AlbBulk      Fcld       LAI     ustar        Lob        Fc        T2        Q2       U10
2011    1    0    5   1.0035    0.0000    0.0000  285.8763  333.6260    4.4900  -47.7498   59.6519  -52.3540   54.4889    9.7672   0.000000   0.000000   0.001175   0.000000  -0.001175  -0.001149  2799.9989   0.000000   0.000000   30.0000  151.9097  358.0886    0.1304    0.4068    0.0680    0.4259  -129.0394   28.2031    2.5090    5.0945    1.6425
2011    1    0   10   1.0069    0.0000    0.0000  285.8763  333.6260    4.4900  -47.7498   58.4026  -52.3540   53.3439    9.6629   0.000000   0.000000   0.001162   0.000000  -0.001162  -0.001137  2799.9977   0.000000   0.000000   30.0001  151.9189    0.5234    0.1304    0.4068    0.0680    0.4251  -131.0181   27.6274    2.5475    5.0949    1.6418
2011    1    0   15   1.0104    0.0000    0.0000  285.8763  333.6260    4.4900  -47.7498   57.1534  -52.3540   52.1991    9.5585   0.000000   0.000000   0.001150   0.000000  -0.001150  -0.001125  2799.9966   0.000000   0.000000   30.0001  151.8951    2.9572    0.1304    0.4068    0.0680    0.4243  -133.0737   27.0516    2.5860    5.0953    1.6411
2011    1    0   20   1.0139    0.0000    0.0000  285.8763  333.6260    4.4900  -47.7498   55.9041  -52.3540   51.0544    9.4538   0.000000   0.000000   0.001137   0.000000  -0.001137  -0.001112  2799.9955   0.000000   0.000000   30.0001  151.8383    5.3853    0.1304    0.4068    0.0680    0.4235  -135.2074   26.4758    2.6246    5.0957    1.6404
2011    1    0   25   1.0174    0.0000    0.0000  285.8763  333.6260    4.4900  -47.7498   54.6548  -52.3540   49.9101    9.3489   0.000000   0.000000   0.001125   0.000000  -0.001125  -0.001100  2799.9944   0.000000   0.000000   30.0001  151.7488    7.8032    0.1304    0.4068    0.0680    0.4227  -137.4317   25.9000    2.6633    5.0961    1.6397
2011    1    0   30   1.0208    0.0000    0.0000  285.8763  333.6260    4.4900  -47.7498   53.4056  -52.3540   48.7660    9.2438   0.000000   0.000000   0.001112   0.000000  -0.001112  -0.001087  2799.9933   0.000000   0.000000   30.0002  151.6269   10.2066    0.1304    0.4068    0.0680    0.4218  -139.7485   25.3242    2.7021    5.0965    1.6389
2011    1    0   35   1.0243    0.0000    0.0000  285.8763  333.6260    4.4900  -47.7498   52.1563  -52.3540   47.6222    9.1384   0.000000   0.000000   0.001099   0.000000  -0.001099  -0.001075  2799.9922   0.000000   0.000000   30.0002  151.4730   12.5911    0.1304    0.4068    0.0680    0.4210  -142.1640   24.7485    2.7410    5.0969    1.6382
2011    1    0   40   1.0278    0.0000    0.0000  285.9673  333.5412    4.4700  -47.5739   50.9071  -52.2684   46.5833    9.0184   0.000000   0.000000   0.001085   0.000000  -0.001085  -0.001061  2799.9912   0.000000   0.000000   30.0002  151.2877   14.9528    0.1304    0.4086    0.0680    0.4272  -151.7906   24.1726    2.7737    5.0907    1.6717
2011    1    0   45   1.0312    0.0000    0.0000  286.0586  333.4564    4.4500  -47.3979   49.6578  -52.1828   45.5433    8.8995   0.000000   0.000000   0.001071   0.000000  -0.001071  -0.001047  2799.9901   0.000000   0.000000   30.0003  151.0716   17.2881    0.1304    0.4104    0.0680    0.4333  -162.0358   23.5967    2.8056    5.0845    1.7051
2011    1    0   50   1.0347    0.0000    0.0000  286.1499  333.3717    4.4300  -47.2218   48.4086  -52.0972   44.5024    8.7815   0.000000   0.000000   0.001056   0.000000  -0.001056  -0.001033  2799.9891   0.000000   0.000000   30.0003  150.8255   19.5937    0.1304    0.4122    0.0680    0.4395  -172.9464   23.0208    2.8366    5.0783    1.7383
2011    1    0   55   1.0382    0.0000    0.0000  286.2413  333.2870    4.4100  -47.0457   47.1593  -52.0115   43.4606    8.6645   0.000000   0.000000   0.001042   0.000000  -0.001042  -0.001019  2799.9881   0.000000   0.000000   30.0003  150.5501   21.8667    0.1304    0.4140    0.0680    0.4456  -184.5769   22.4450    2.8669    5.0721    1.7715
2011    1    1    0   1.0417    0.0000    0.0000  286.3329  333.2023    4.3900  -46.8694   45.9101  -51.9257   42.4180    8.5484   0.000000   0.000000   0.001028   0.000000  -0.001028  -0.001006  2799.9870   0.000000   0.000000   30.0003  150.2463   24.1044    0.1304    0.4158    0.0680    0.4518  -196.9777   21.8691    2.8964    5.0658    1.8045
2011    1    1    5   1.0451    0.0000    0.0000  286.4245  333.1176    4.3700  -46.6931   45.6758  -51.8400   42.3053    8.5175   0.000000   0.000000   0.001025   0.000000  -0.001025  -0.001002  2799.9860   0.000000   0.000000   30.0004  149.9150   26.3046    0.1304    0.4176    0.0680    0.4587  -206.7213   21.7610    2.8947    5.0593    1.8383
2011    1    1   10   1.0486    0.0000    0.0000  286.5163  333.0329    4.3500  -46.5166   45.4416  -51.7542   42.1924    8.4867   0.000000   0.000000   0.001021   0.000000  -0.001021  -0.000999  2799.9850   0.000000   0.000000   30.0004  149.5572   28.4655    0.1304    0.4194    0.0680    0.4656  -216.8111   21.6530    2.8926    5.0527    1.8720
