Year  DOY Hour  Min  Dectime     Kdown       Kup     Ldown       Lup     Tsurf        QN        QF        QS        QH        QE       Rain        Irr       Evap         RO      TotCh     SurfCh      State  NWtrState   Drainage       SMD    Zenith   Azimuth   AlbBulk      Fcld       LAI     ustar        Lob        Fc        T2        Q2       U10
2012  362    1    0 362.0417    0.0000    0.0000  308.6020  353.4660    8.4500  -44.8640   43.4521  -50.9503   38.1549   11.3834   0.000000   0.000000   0.016488   0.000000  -0.016488  -0.016156  2799.9838   0.000000   0.000000   30.0004  150.3121   25.1438    0.1304    0.4359    0.0680    0.6895  -721.0651   19.3051    7.3986    6.8697    2.9245
2012  362    2    0 362.0833    0.0000    0.0000  308.0688  352.5916    8.2725  -44.5228   37.7875  -50.7843   33.3487   10.7004   0.000000   0.000000   0.015497   0.000000  -0.015497  -0.015184  2799.9687   0.000000   0.000000   30.0007  144.6835   48.6406    0.1304    0.4396    0.0680    0.6876  -808.7465   16.8825    7.3515    6.7902    2.9249
2012  362    3    0 362.1250    0.0000    0.0000  308.0885  351.7194    8.0875  -43.6309   35.6006  -50.2083   32.0451   10.1329   0.000000   0.000000   0.014674   0.000000  -0.014674  -0.014376  2799.9543   0.000000   0.000000   30.0011  136.8059   66.5264    0.1304    0.4489    0.0680    0.6775  -810.2341   15.9466    7.1936    6.7078    2.8819
2012  362    4    0 362.1667    0.0000    0.0000  307.8644  351.4220    8.0275  -43.5575   34.4175  -50.1581   31.0457    9.9724   0.000000   0.000000   0.014441   0.000000  -0.014441  -0.014148  2799.9401   0.000000   0.000000   30.0014  127.8700   80.6872    0.1304    0.4498    0.0680    0.6761  -830.2272   15.4405    7.1596    6.6848    2.8776
2012  362    5    0 362.2083    0.0000    0.0000  307.8431  350.1615    7.7600  -42.3184   36.7478  -49.5472   34.5791    9.3975   0.000000   0.000000   0.013607   0.000000  -0.013607  -0.013317  2799.9268   0.000000   0.000000   30.0018  118.5771   92.7960    0.1304    0.4630    0.0680    0.6109  -569.5146   16.4351    6.7240    6.5667    2.5726
2012  362    6    0 362.2500    0.0000    0.0000  306.9637  349.3645    7.6025  -42.4008   50.8375  -49.5624   47.6040   10.3951   0.000000   0.000000   0.015049   0.000000  -0.015049  -0.014728  2799.9121   0.000000   0.000000   30.0021  109.3748  103.9540    0.1304    0.4622    0.0680    0.5860  -376.0281   22.4572    6.1406    6.4953    2.4284
2012  362    7    0 362.2917    0.0000    0.0000  306.8185  348.6517    7.4525  -41.8332   83.9285  -49.3760   78.3631   13.1081   0.000000   0.000000   0.018975   0.000000  -0.018975  -0.018595  2799.8935   0.000000   0.000000   30.0026  100.6160  114.8879    0.1304    0.4684    0.0680    0.6186  -273.2261   36.6020    5.1459    6.4251    2.5228
2012  362    8    0 362.3333    0.2442    0.0318  310.3702  350.0026    7.6911  -39.4201  114.4381  -48.0812   69.4990   53.6002   0.399600   0.000000   0.077622   0.049171   0.272808   0.272574  2800.1661   0.276424   0.060635   30.0023   91.8341  126.1082    0.1304    0.4920    0.0680    0.6773  -261.4876   49.6455    5.7599    6.4038    2.7557
2012  362    9    0 362.3750    3.4025    0.4437  315.2465  350.9593    7.8270  -32.7540  116.9119  -44.1823   36.3125   92.0277   0.999600   0.000000   0.133315   0.549814   0.316471   0.314059  2800.4801   0.502373   0.679394   29.9995   85.4026  137.9749    0.1304    0.5377    0.0680    0.6615  -232.8619   50.7035    6.8046    6.3376    2.6724
2012  362   10    0 362.4167   14.9942    1.9552  316.9113  353.3300    8.3067  -23.3797  110.5303  -38.5888   28.7865   96.9529   0.999600   0.000000   0.140486   0.689206   0.169907   0.156364  2800.6365   0.544901   0.864809   29.9838   80.0462  150.6878    0.1304    0.5384    0.0680    0.6545  -230.9213   47.9773    7.4878    6.5402    2.6425
2012  362   11    0 362.4583   24.0900    3.1413  315.0115  353.1869    8.3027  -17.2268  111.5341  -35.1198   25.0682  104.3590   1.200000   0.000000   0.151188   0.815788   0.233023   0.194518  2800.8310   0.600413   1.050638   29.9390   76.4893  164.2289    0.1304    0.5260    0.0680    0.7318  -313.0457   48.4056    7.6413    6.5358    3.0072
2012  362   12    0 362.5000   29.3025    3.8210  315.5999  352.9213    8.2383  -11.8399  112.2512  -33.0360   40.7466   92.7007   0.399600   0.000000   0.134295   0.351925  -0.086620  -0.122234  2800.7088   0.417720   0.475610   29.8976   75.0774  178.3189    0.1304    0.5398    0.0680    0.7323  -303.7777   48.7113    7.1652    6.5409    3.0046
2012  362   13    0 362.5417   52.6258    6.8624  315.6916  355.9982    8.8861    5.4568  112.7889  -24.0248   68.5864   73.6842   0.000000   0.000000   0.106762   0.075289  -0.182051  -0.198818  2800.5100   0.213304   0.112343   29.8781   75.9503  192.4728    0.1304    0.5241    0.0680    0.7554  -314.6085   48.9429    7.1258    6.9056    3.1040
2012  362   14    0 362.5833   67.8025    8.8414  312.1049  355.5913    8.8498   15.4747  114.9759  -17.6230   77.1423   70.9313   0.200400   0.000000   0.102734   0.036717   0.060949   0.051754  2800.5617   0.270153   0.055738   29.8674   79.0208  206.1799    0.1304    0.5011    0.0680    0.9201  -544.5615   49.8763    7.1118    6.9127    3.8695
