iy	id	it	imin	Tiair	Tsurf	Troof	Troad	Twall	Twall_n	Twall_e	Twall_s	Twall_w				
2004	43	0	10	20	-4.341	-4.341	-4.341	-4.341	-4.341	-4.341	-4.341	-4.341				
2004	43	0	20	20	-4.207	-4.207	-4.207	-4.207	-4.207	-4.207	-4.207	-4.207				
2004	43	0	30	20	-4.091	-4.091	-4.091	-4.091	-4.091	-4.091	-4.091	-4.091				
2004	43	0	40	20	-4.056	-4.056	-4.056	-4.056	-4.056	-4.056	-4.056	-4.056				
2004	43	0	50	20	-4.069	-4.069	-4.069	-4.069	-4.069	-4.069	-4.069	-4.069				
2004	43	1	0	20	-3.969	-3.969	-3.969	-3.969	-3.969	-3.969	-3.969	-3.969				
2004	43	1	10	20	-3.901	-3.901	-3.901	-3.901	-3.901	-3.901	-3.901	-3.901				
2004	43	1	20	20	-3.813	-3.813	-3.813	-3.813	-3.813	-3.813	-3.813	-3.813				
2004	43	1	30	20	-3.725	-3.725	-3.725	-3.725	-3.725	-3.725	-3.725	-3.725				
2004	43	1	40	20	-3.648	-3.648	-3.648	-3.648	-3.648	-3.648	-3.648	-3.648				
2004	43	1	50	20	-3.608	-3.608	-3.608	-3.608	-3.608	-3.608	-3.608	-3.608				
2004	43	2	0	20	-3.581	-3.581	-3.581	-3.581	-3.581	-3.581	-3.581	-3.581				
2004	43	2	10	20	-3.567	-3.567	-3.567	-3.567	-3.567	-3.567	-3.567	-3.567				
2004	43	2	20	20	-3.537	-3.537	-3.537	-3.537	-3.537	-3.537	-3.537	-3.537				
2004	43	2	30	20	-3.431	-3.431	-3.431	-3.431	-3.431	-3.431	-3.431	-3.431				
2004	43	2	40	20	-3.364	-3.364	-3.364	-3.364	-3.364	-3.364	-3.364	-3.364				
2004	43	2	50	20	-3.317	-3.317	-3.317	-3.317	-3.317	-3.317	-3.317	-3.317				
2004	43	3	0	20	-3.3	-3.3	-3.3	-3.3	-3.3	-3.3	-3.3	-3.3				
2004	43	3	10	20	-3.267	-3.267	-3.267	-3.267	-3.267	-3.267	-3.267	-3.267				
2004	43	3	20	20	-3.233	-3.233	-3.233	-3.233	-3.233	-3.233	-3.233	-3.233				
2004	43	3	30	20	-3.203	-3.203	-3.203	-3.203	-3.203	-3.203	-3.203	-3.203				
2004	43	3	40	20	-3.205	-3.205	-3.205	-3.205	-3.205	-3.205	-3.205	-3.205				
2004	43	3	50	20	-3.209	-3.209	-3.209	-3.209	-3.209	-3.209	-3.209	-3.209				
2004	43	4	0	20	-3.19	-3.19	-3.19	-3.19	-3.19	-3.19	-3.19	-3.19				
2004	43	4	10	20	-3.167	-3.167	-3.167	-3.167	-3.167	-3.167	-3.167	-3.167				
2004	43	4	20	20	-3.126	-3.126	-3.126	-3.126	-3.126	-3.126	-3.126	-3.126				
2004	43	4	30	20	-3.09	-3.09	-3.09	-3.09	-3.09	-3.09	-3.09	-3.09				
2004	43	4	40	20	-3.039	-3.039	-3.039	-3.039	-3.039	-3.039	-3.039	-3.039				
2004	43	4	50	20	-2.979	-2.979	-2.979	-2.979	-2.979	-2.979	-2.979	-2.979				
