Year  DOY Hour  Min  Dectime     Kdown       Kup     Ldown       Lup     Tsurf        QN        QF        QS        QH        QE       Rain        Irr       Evap         RO      TotCh     SurfCh      State  NWtrState   Drainage       SMD    Zenith   Azimuth   AlbBulk      Fcld       LAI     ustar        Lob        Fc        T2        Q2       U10
2004   43    1    0  43.0417    0.0000    0.0000  293.0784  293.0784   -5.0271   -0.0000    0.0000   -3.3959    3.3959    0.0000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000     0.0000   0.000000   0.000000    0.0000  136.5475  348.6146    0.1200    0.2833    0.0000    0.1137  -100.6023    0.0000   -5.4143    2.5419    2.2292
2004   43    2    0  43.0833    0.0000    0.0000  295.0606  295.0606   -4.5750   -0.0000    0.0000   -3.3959    3.3959    0.0000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000     0.0000   0.000000   0.000000    0.0000  136.6463    9.7812    0.1200    0.3005    0.0000    0.1272  -143.2645    0.0000   -4.9305    2.6319    2.5126
2004   43    3    0  43.1250    0.0000    0.0000  297.4843  297.4843   -4.0250   -0.0000    0.0000   -3.3959    3.3959    0.0000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000     0.0000   0.000000   0.000000    0.0000  133.9035   30.0782    0.1200    0.3342    0.0000    0.1667  -320.0728    0.0000   -4.3077    2.7457    3.3376
2004   43    4    0  43.1667    0.0000    0.0000  296.8767  296.8767   -4.1625   -0.0000    0.0000   -3.3959    3.3959    0.0000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000     0.0000   0.000000   0.000000    0.0000  128.8423   48.2410    0.1200    0.3722    0.0000    0.1649  -307.8956    0.0000   -4.4475    2.7191    3.3001
2004   43    5    0  43.2083    0.1000    0.0120  296.8215  296.8285   -4.1733    0.0810    0.0000   -3.3859    3.4669    0.0000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000     0.0000   0.000000   0.000000    0.0000  122.1978   64.1177    0.1200    0.3973    0.0000    0.1547  -254.2006    0.0000   -4.4811    2.7181    3.0876
2004   43    6    0  43.2500    2.2125    0.2655  297.5948  297.7505   -3.9630    1.7912    0.0000   -3.2129    4.1283    0.8758   0.100000   0.000000   0.001256   0.001882   0.096862   0.096862     0.0969   0.096862   0.001882    0.0000  114.6381   78.2145    0.1200    0.4386    0.0000    0.1431  -158.5626    0.0000   -4.3497    2.7520    2.8251
2004   43    7    0  43.2917   13.8375    1.6605  298.5357  299.5099   -3.5566   11.2028    0.0000   -2.6647    9.5384    4.3292   0.300000   0.000000   0.006209   0.105257   0.188534   0.188534     0.2854   0.285396   0.105257    0.0000  106.6949   91.1941    0.1200    0.4894    0.0000    0.1449   -31.2718    0.0000   -4.3620    2.8036    2.7124
2004   43    8    0  43.3333   35.2000    4.2240  300.0351  302.5132   -2.8660   28.4979    0.0000   -2.0561   20.3109   10.2431   0.400000   0.000000   0.014697   0.334936   0.050366   0.050366     0.3358   0.335762   0.334936    0.0000   98.7961  103.6638    0.1200    0.5236    0.0000    0.1501   -12.8626    0.0000   -4.3419    2.9085    2.6747
2004   43    9    0  43.3750   70.7250    8.4870  303.1070  308.0860   -1.6016   57.2590    0.0000   -0.6585   42.1650   15.7524   0.200000   0.000000   0.022617   0.246688  -0.069305  -0.069305     0.2665   0.266457   0.246688    0.0000   90.5152  116.1309    0.1200    0.5395    0.0000    0.1554    -6.8202    0.0000   -4.2269    3.1749    2.6493
2004   43   10    0  43.4167   87.7750   10.5330  307.2191  313.3984   -0.4252   71.0626    0.0000    0.0344   48.9155   22.1127   0.400000   0.000000   0.031773   0.304500   0.063726   0.063726     0.3302   0.330183   0.304500    0.0000   84.3007  128.9983    0.1200    0.5334    0.0000    0.1965   -11.1700    0.0000   -3.2165    3.4385    3.4746
2004   43   11    0  43.4583   80.0750    9.6090  309.8877  315.5250    0.0299   64.8287    0.0000    2.7070   45.1762   16.9456   0.000000   0.000000   0.024357   0.138472  -0.162829  -0.162829     0.1674   0.167354   0.138472    0.0000   78.7819  142.5434    0.1200    0.5015    0.0000    0.2282   -20.2070    0.0000   -2.4562    3.5989    4.1873
2004   43   12    0  43.5000   59.1125    7.0935  310.6860  314.8476   -0.1335   47.8575    0.0000    5.9464   33.5396    8.3715   0.000000   0.000000   0.012034   0.031001  -0.043036  -0.043036     0.1243   0.124318   0.031001    0.0000   74.7572  156.8640    0.1200    0.4963    0.0000    0.2250   -29.5926    0.0000   -2.0819    3.6093    4.2124
2004   43   13    0  43.5417   41.9500    5.0340  311.4862  314.4394   -0.2357   33.9627    0.0000    6.8052   22.3786    4.7789   0.000000   0.000000   0.006871   0.014721  -0.021592  -0.021592     0.1027   0.102726   0.014721    0.0000   72.5930  171.8191    0.1200    0.5110    0.0000    0.2190   -44.3340    0.0000   -1.6124    3.6061    4.1750
2004   43   14    0  43.5833   23.5875    2.8305  312.1159  313.7765   -0.3944   19.0964    0.0000    4.6299   11.0197    3.4468   0.100000   0.000000   0.004957   0.027321   0.067721   0.067721     0.1704   0.170448   0.027321    0.0000   72.4999  187.0353    0.1200    0.5325    0.0000    0.2032   -78.6934    0.0000   -1.1366    3.5722    3.9500
2004   43   15    0  43.6250    8.6750    1.0410  313.4935  314.1042   -0.3353    7.0233    0.0000    2.3948    2.7668    1.8617   0.000000   0.000000   0.002678   0.034856  -0.037535  -0.037535     0.1329   0.132913   0.034856    0.0000   74.4867  202.0331    0.1200    0.5601    0.0000    0.1739  -217.6774    0.0000   -0.5541    3.5991    3.4751
2004   43   16    0  43.6667    1.0375    0.1245  315.7996  315.8726    0.0417    0.8400    0.0000    0.5345   -0.3664    0.6718   0.000000   0.000000   0.000967   0.018756  -0.019723  -0.019723     0.1132   0.113190   0.018756    0.0000   78.3580  216.4234    0.1200    0.5873    0.0000    0.1546   132.2934    0.0000    0.0754    3.7118    3.2877
2004   43   17    0  43.7083    0.0125    0.0015  318.6993  318.7001    0.6502    0.0101    0.0000   -1.3854    0.9031    0.4924   0.000000   0.000000   0.000709   0.012256  -0.012966  -0.012966     0.1002   0.100224   0.012256    0.0000   83.7597  230.0439    0.1200    0.6110    0.0000    0.1216    34.3645    0.0000    0.5463    3.8814    2.5752
