Year  DOY Hour  Min  Dectime      Kdown        Kup      Ldown        Lup      Tsurf         QN         QF         QS         QH         QE       Rain        Irr       Evap         RO      TotCh     SurfCh      State  NWtrState   Drainage       SMD    Zenith   Azimuth   AlbBulk      Fcld       LAI     UStar        Lob        Fc        T2        Q2       U10
2004   43    1    0  43.0417     0.0000     0.0000   231.5439   290.0017    -5.0271   -58.4578     0.0000    -9.4161   -48.8509    -0.1908   0.000000   0.000000  -0.000273   0.000000   0.000273   0.000273     0.0003   0.000273   0.000000    0.0000  117.8624  357.7038    0.1200    0.2833    0.0000    0.1099     2.4912    0.0000    3.8527    2.6865    5.4417
2004   43    2    0  43.0833     0.0000     0.0000   235.0864   292.0619    -4.5750   -56.9755     0.0000    -8.8980   -47.8741    -0.2033   0.000000   0.000000  -0.000291   0.000000   0.000291   0.000291     0.0006   0.000564   0.000000    0.0000  117.0258   14.5461    0.1200    0.3005    0.0000    0.1130     2.9460    0.0000    4.5819    2.7940    5.2840
2004   43    3    0  43.1250     0.0000     0.0000   240.6916   294.6447    -4.0250   -53.9531     0.0000    -6.9331   -46.7857    -0.2344   0.000000   0.000000  -0.000336   0.000000   0.000336   0.000336     0.0009   0.000900   0.000000    0.0000  113.9644   30.7759    0.1200    0.3342    0.0000    0.1034     2.2180    0.0000    5.8211    2.9456    5.2923
2004   43    4    0  43.1667     0.0000     0.0000   243.8486   294.2253    -4.1625   -50.3767     0.0000    -4.9020   -45.1999    -0.2748   0.000000   0.000000  -0.000394   0.000000   0.000394   0.000394     0.0013   0.001294   0.000000    0.0000  109.0292   45.9537    0.1200    0.3722    0.0000    0.1020     2.1430    0.0000    5.2094    2.9413    5.2826
2004   43    5    0  43.2083     0.1000     0.0120   246.2000   294.2975    -4.1733   -48.0095     0.0000    -3.9298   -43.7781    -0.3016   0.000000   0.000000  -0.000432   0.000000   0.000432   0.000432     0.0017   0.001726   0.000000    0.0000  102.6822   60.0385    0.1200    0.3973    0.0000    0.0903     1.5329    0.0000    7.3721    3.0144    5.0856
2004   43    6    0  43.2500     2.2125     0.2655   250.8079   295.4112    -3.9630   -42.6562     0.0000    -2.0627   -39.3955    -1.1979   0.100000   0.000000  -0.001717   0.002158   0.099560   0.099560     0.1013   0.101286   0.002158    0.0000   95.3049   73.2579    0.1200    0.4386    0.0000    0.0775     1.0439    0.0000    9.6553    3.1593    4.6565
2004   43    7    0  43.2917    13.8375     1.6605   256.3721   297.4017    -3.5566   -28.8526     0.0000     4.7955   -29.6969    -3.9512   0.300000   0.000000  -0.005667   0.114467   0.191199   0.191199     0.2925   0.292485   0.114467    0.0000   87.2064   86.0093    0.1200    0.4894    0.0000    0.0758     1.1646    0.0000    6.6303    3.2089    4.4861
2004   43    8    0  43.3333    35.2000     4.2240   260.9020   300.5565    -2.8660    -8.6785     0.0000    15.7708   -19.9074    -4.5420   0.400000   0.000000  -0.006517   0.356385   0.050132   0.050132     0.3426   0.342617   0.356385    0.0000   79.4039   98.7716    0.1200    0.5236    0.0000    0.0813     1.9715    0.0000    2.5715    3.2153    4.3177
2004   43    9    0  43.3750    70.7250     8.4870   265.3295   306.1971    -1.6016    21.3704     0.0000    31.1096    -8.6182    -1.1210   0.200000   0.000000  -0.001609   0.267769  -0.066160  -0.066160     0.2765   0.276457   0.267769    0.0000   71.7544  112.0358    0.1200    0.5395    0.0000    0.0778     3.7482    0.0000    0.3764    3.3401    3.3835
2004   43   10    0  43.4167    87.7750    10.5330   268.8175   311.4784    -0.4252    34.5811     0.0000    37.3486    -4.2821     1.5147   0.400000   0.000000   0.002177   0.334579   0.063244   0.063244     0.3397   0.339702   0.334579    0.0000   64.8097  126.3014    0.1200    0.5334    0.0000    0.1546    69.7278    0.0000   -0.0195    3.5679    3.4754
