1        2       3           4           5               6               7           8               9       10      11      12      13      14          15          16          17          18          19          20          21              22              23              24          25          26          27      28          29          30          31          32                      33                      34              35                  36              37              38              39              40              41              42              43              44              45              46              47          48          49                      50                      51                  52                  53                  54                  55                  56                  57                      58                      59                      60                      61              62              63              64                      65              66                      67              68                      69              70                      71              72                      73              74                      75              76                      77              78                      79              80                      81                      82                      83                      84                      85                          86                      87              88                      89                      90                      91                      92                      93                      94                      95                      96                      97                      98                      99                      100                     101                     102                     103
Grid     Year    StartDLS    EndDLS      lat             lng             Timezone    SurfaceArea     Alt     z       id      ih      imin    Fr_Paved    Fr_Bldgs    Fr_EveTr    Fr_DecTr    Fr_Grass    Fr_Bsoil    Fr_Water    IrrFr_EveTr     IrrFr_DecTr     IrrFr_Grass     H_Bldgs     H_EveTr     H_DecTr     z0      zd          FAI_Bldgs   FAI_EveTr   FAI_DecTr   PopDensDay              PopDensNight            TrafficRate     BuildEnergyUse      Code_Paved      Code_Bldgs      Code_EveTr      Code_DecTr      Code_Grass      Code_Bsoil      Code_Water      LUMPS_DrRate    LUMPS_Cover     LUMPS_MaxRes    NARP_Trans      CondCode    SnowCode    SnowClearingProfWD      SnowClearingProfWE      AnthropogenicCode   EnergyUseProfWD     EnergyUseProfWE     ActivityProfWD      ActivityProfWE      IrrigationCode      WaterUseProfManuWD      WaterUseProfManuWE      WaterUseProfAutoWD      WaterUseProfAutoWE      FlowChange      RunoffToWater   PipeCapacity    GridConnection1of8      Fraction1of8    GridConnection2of8      Fraction2of8    GridConnection3of8      Fraction3of8    GridConnection4of8      Fraction4of8    GridConnection5of8      Fraction5of8    GridConnection6of8      Fraction6of8    GridConnection7of8      Fraction7of8    GridConnection8of8      Fraction8of8    WithinGridPavedCode     WithinGridBldgsCode     WithinGridEveTrCode     WithinGridDecTrCode     WithinGridGrassCode     WithinGridUnmanBSoilCode    WithinGridWaterCode     AreaWall        Fr_ESTMClass_Paved1     Fr_ESTMClass_Paved2     Fr_ESTMClass_Paved3     Code_ESTMClass_Paved1   Code_ESTMClass_Paved2   Code_ESTMClass_Paved3   Fr_ESTMClass_Bldgs1     Fr_ESTMClass_Bldgs2     Fr_ESTMClass_Bldgs3     Fr_ESTMClass_Bldgs4     Fr_ESTMClass_Bldgs5     Code_ESTMClass_Bldgs1   Code_ESTMClass_Bldgs2   Code_ESTMClass_Bldgs3   Code_ESTMClass_Bldgs4   Code_ESTMClass_Bldgs5
138891   2015    85          302         51.50087088     -0.07992581     0           1               0       999     1       0       0       0.4         0.354       0           0.016       0.23        0           0           0               0               0               9.263       6.092       6.092       0.926   6.484       0.232       0.009       0.009       170.54649915            170.54649915            99999           99999               661             662             700             701             702             703             661             0.25            1               10              1               200         660         660                     660                     661                 661                 662                 55663               55664               99999               660                     660                     660                     660                     0               0.1             100             0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               661                     662                     663                     664                     665                     666                         667                     6822.467433     0                       1                       0                       806                     807                     808                     1                       0                       0                       0                       0                       801                     802                     803                     804                     805
139365   2015    85          302         51.50083306     -0.08136441     0           1               0       999     1       0       0       0.424       0.478       0           0.037       0.061       0           0           0               0               0               10.871      9.615       9.615       1.087   7.61        0.372       0.05        0.05        196.7278748             196.7278748             99999           99999               661             662             700             701             702             703             661             0.25            1               10              1               200         660         660                     660                     661                 661                 662                 55663               55664               99999               660                     660                     660                     660                     0               0.1             100             0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               661                     662                     663                     664                     665                     666                         667                     9326.074559     0                       1                       0                       806                     807                     808                     0.957473771             0                       0                       0.042526229             0                       801                     802                     803                     804                     805
139366   2015    85          302         51.50176875     -0.079986391    0           1               0       999     1       0       0       0.712       0.125       0           0.038       0.125       0           0           0               0               0               10.175      13.508      13.508      1.018   7.123       0.1         0.028       0.028       349.83474835000004      349.83474835000004      99999           99999               661             662             700             701             702             703             661             0.25            1               10              1               200         660         660                     660                     661                 661                 662                 55663               55664               99999               660                     660                     660                     660                     0               0.1             100             0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               661                     662                     663                     664                     665                     666                         667                     3172.469615     0                       0.624628375             0.375371625             806                     807                     808                     0.900143905             0.099856095             0                       0                       0                       801                     802                     803                     804                     805
139839   2015    85          302         51.50079522     -0.082803007    0           1               0       999     1       0       0       0.445       0.251       0           0.131       0.173       0           0           0               0               0               10.32       8.755       8.755       1.032   7.224       0.164       0.199       0.199       297.51874585            297.51874585            99999           99999               661             662             700             701             702             703             661             0.25            1               10              1               200         660         660                     660                     661                 661                 662                 55663               55664               99999               660                     660                     660                     660                     0               0.1             100             0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               661                     662                     663                     664                     665                     666                         667                     6334.736479     0                       1                       0                       806                     807                     808                     0.252011332             0                       0                       0.747988668             0                       801                     802                     803                     804                     805
139840   2015    85          302         51.50173093     -0.08142502     0           1               0       999     1       0       0       0.371       0.495       0           0.046       0.088       0           0           0               0               0               10.919      8.531       8.531       1.092   7.643       0.42        0.12        0.12        242.7343704             242.7343704             99999           99999               661             662             700             701             702             703             661             0.25            1               10              1               200         660         660                     660                     661                 661                 662                 55663               55664               99999               660                     660                     660                     660                     0               0.1             100             0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               661                     662                     663                     664                     665                     666                         667                     9492.899472     0                       0.772042417             0.227957583             806                     807                     808                     0.979082913             0                       0                       0.020917087             0                       801                     802                     803                     804                     805
139841   2015    85          302         51.50266662     -0.080046975    0           1               0       999     1       0       0       0.509       0.285       0           0.027       0.179       0           0           0               0               0               14.693      8.783       8.783       1.469   10.285      0.265       0.013       0.013       984.6493786499999       984.6493786499999       99999           99999               661             662             700             701             702             703             661             0.25            1               10              1               200         660         660                     660                     661                 661                 662                 55663               55664               99999               660                     660                     660                     660                     0               0.1             100             0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               661                     662                     663                     664                     665                     666                         667                     6241.827882     0                       0.849762276             0.150237724             806                     807                     808                     0.518849738             0.152648518             0                       0.328501744             0                       801                     802                     803                     804                     805
140313   2015    85          302         51.50075737     -0.084241602    0           1               0       999     1       0       0       0.348       0.181       0           0.181       0.29        0           0           0               0               0               12.34       8.129       8.129       1.234   8.638       0.13        0.217       0.217       216.10112266            216.10112266            99999           99999               661             662             700             701             702             703             661             0.25            1               10              1               200         660         660                     660                     661                 661                 662                 55663               55664               99999               660                     660                     660                     660                     0               0.1             100             0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               661                     662                     663                     664                     665                     666                         667                     3677.290175     0                       1                       0                       806                     807                     808                     0.699496017             0.027867488             0                       0.272636496             0                       801                     802                     803                     804                     805
140314   2015    85          302         51.50169309     -0.082863645    0           1               0       999     1       0       0       0.35        0.478       0           0.086       0.086       0           0           0               0               0               9.982       10.461      10.461      0.998   6.988       0.304       0.06        0.06        276.87799593            276.87799593            99999           99999               661             662             700             701             702             703             661             0.25            1               10              1               200         660         660                     660                     661                 661                 662                 55663               55664               99999               660                     660                     660                     660                     0               0.1             100             0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               661                     662                     663                     664                     665                     666                         667                     7954.676587     0                       1                       0                       806                     807                     808                     0.022584556             0                       0                       0.977415444             0                       801                     802                     803                     804                     805
140315   2015    85          302         51.5026288      -0.081485632    0           1               0       999     1       0       0       0.787       0.21        0           0           0.003       0           0           0               0               0               15.401      0           0           1.54    10.781      0.126       0           0           291.148752555           291.148752555           99999           99999               661             662             700             701             702             703             661             0.25            1               10              1               200         660         660                     660                     661                 661                 662                 55663               55664               99999               660                     660                     660                     660                     0               0.1             100             0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               0                       0               661                     662                     663                     664                     665                     666                         667                     4645.645829     0                       0.233155207             0.766844793             806                     807                     808                     0.112476198             0                       0                       0.887523802             0                       801                     802                     803                     804                     805
