#iy	id	it	imin	Tiair	Tsurf	Troof	Troad	Twall	Twall_n	Twall_e	Twall_s	Twall_w
2015	197	0	30	22.22	16.49	16.49	16.49	16.49	16.49	16.49	16.49	16.49
2015	197	1	0	22.12	16.87	16.87	16.87	16.87	16.87	16.87	16.87	16.87
2015	197	1	30	22.02	16.69	16.69	16.69	16.69	16.69	16.69	16.69	16.69
2015	197	2	0	21.88	16.25	16.25	16.25	16.25	16.25	16.25	16.25	16.25
2015	197	2	30	21.79	16.68	16.68	16.68	16.68	16.68	16.68	16.68	16.68
2015	197	3	0	21.69	16.36	16.36	16.36	16.36	16.36	16.36	16.36	16.36
2015	197	3	30	21.6	15.86	15.86	15.86	15.86	15.86	15.86	15.86	15.86
2015	197	4	0	21.53	15.99	15.99	15.99	15.99	15.99	15.99	15.99	15.99
2015	197	4	30	21.49	15.92	15.92	15.92	15.92	15.92	15.92	15.92	15.92
2015	197	5	0	21.49	15.81	15.81	15.81	15.81	15.81	15.81	15.81	15.81
2015	197	5	30	21.56	16.11	16.11	16.11	16.11	16.11	16.11	16.11	16.11
2015	197	6	0	21.7	17.08	17.08	17.08	17.08	17.08	17.08	17.08	17.08
2015	197	6	30	21.88	18.48	18.48	18.48	18.48	18.48	18.48	18.48	18.48
2015	197	7	0	22.14	21.56	21.56	21.56	21.56	21.56	21.56	21.56	21.56
2015	197	7	30	22.28	25.33	25.33	25.33	25.33	25.33	25.33	25.33	25.33
2015	197	8	0	22.49	28.41	28.41	28.41	28.41	28.41	28.41	28.41	28.41
2015	197	8	30	22.74	31.49	31.49	31.49	31.49	31.49	31.49	31.49	31.49
2015	197	9	0	22.96	34.37	34.37	34.37	34.37	34.37	34.37	34.37	34.37
2015	197	9	30	23.21	37.34	37.34	37.34	37.34	37.34	37.34	37.34	37.34
2015	197	10	0	23.44	39.85	39.85	39.85	39.85	39.85	39.85	39.85	39.85
2015	197	10	30	23.67	42.37	42.37	42.37	42.37	42.37	42.37	42.37	42.37
2015	197	11	0	23.95	44.22	44.22	44.22	44.22	44.22	44.22	44.22	44.22
2015	197	11	30	24.14	45.79	45.79	45.79	45.79	45.79	45.79	45.79	45.79
2015	197	12	0	24.36	46.59	46.59	46.59	46.59	46.59	46.59	46.59	46.59
2015	197	12	30	24.51	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49
2015	197	13	0	24.66	48.60	48.60	48.60	48.60	48.60	48.60	48.60	48.60
2015	197	13	30	24.8	48.41	48.41	48.41	48.41	48.41	48.41	48.41	48.41
2015	197	14	0	24.92	48.87	48.87	48.87	48.87	48.87	48.87	48.87	48.87
2015	197	14	30	24.99	47.61	47.61	47.61	47.61	47.61	47.61	47.61	47.61
2015	197	15	0	25.03	47.28	47.28	47.28	47.28	47.28	47.28	47.28	47.28
2015	197	15	30	25.11	44.68	44.68	44.68	44.68	44.68	44.68	44.68	44.68
2015	197	16	0	25.09	46.01	46.01	46.01	46.01	46.01	46.01	46.01	46.01
2015	197	16	30	25.1	43.93	43.93	43.93	43.93	43.93	43.93	43.93	43.93
2015	197	17	0	25.06	42.21	42.21	42.21	42.21	42.21	42.21	42.21	42.21
2015	197	17	30	25	40.18	40.18	40.18	40.18	40.18	40.18	40.18	40.18
2015	197	18	0	25	38.40	38.40	38.40	38.40	38.40	38.40	38.40	38.40
2015	197	18	30	24.94	35.67	35.67	35.67	35.67	35.67	35.67	35.67	35.67
2015	197	19	0	24.85	32.57	32.57	32.57	32.57	32.57	32.57	32.57	32.57
2015	197	19	30	24.63	28.52	28.52	28.52	28.52	28.52	28.52	28.52	28.52
2015	197	20	0	24.29	23.63	23.63	23.63	23.63	23.63	23.63	23.63	23.63
2015	197	20	30	23.95	20.83	20.83	20.83	20.83	20.83	20.83	20.83	20.83
2015	197	21	0	23.76	20.17	20.17	20.17	20.17	20.17	20.17	20.17	20.17
2015	197	21	30	23.48	21.34	21.34	21.34	21.34	21.34	21.34	21.34	21.34
2015	197	22	0	23.23	21.77	21.77	21.77	21.77	21.77	21.77	21.77	21.77
2015	197	22	30	23.07	21.14	21.14	21.14	21.14	21.14	21.14	21.14	21.14
2015	197	23	0	22.89	20.37	20.37	20.37	20.37	20.37	20.37	20.37	20.37
2015	197	23	30	22.73	19.96	19.96	19.96	19.96	19.96	19.96	19.96	19.96
2015	198	0	0	22.56	19.46	19.46	19.46	19.46	19.46	19.46	19.46	19.46
2015	198	0	30	22.4	18.89	18.89	18.89	18.89	18.89	18.89	18.89	18.89
2015	198	1	0	22.23	18.76	18.76	18.76	18.76	18.76	18.76	18.76	18.76
2015	198	1	30	22.1	18.80	18.80	18.80	18.80	18.80	18.80	18.80	18.80
2015	198	2	0	22.01	18.49	18.49	18.49	18.49	18.49	18.49	18.49	18.49
2015	198	2	30	21.95	18.01	18.01	18.01	18.01	18.01	18.01	18.01	18.01
2015	198	3	0	21.99	18.23	18.23	18.23	18.23	18.23	18.23	18.23	18.23
2015	198	3	30	21.93	18.20	18.20	18.20	18.20	18.20	18.20	18.20	18.20
2015	198	4	0	21.84	16.85	16.85	16.85	16.85	16.85	16.85	16.85	16.85
2015	198	4	30	21.86	16.87	16.87	16.87	16.87	16.87	16.87	16.87	16.87
2015	198	5	0	21.83	16.42	16.42	16.42	16.42	16.42	16.42	16.42	16.42
2015	198	5	30	21.87	17.52	17.52	17.52	17.52	17.52	17.52	17.52	17.52
2015	198	6	0	22.06	18.66	18.66	18.66	18.66	18.66	18.66	18.66	18.66
2015	198	6	30	22.14	20.50	20.50	20.50	20.50	20.50	20.50	20.50	20.50
2015	198	7	0	22.41	23.82	23.82	23.82	23.82	23.82	23.82	23.82	23.82
2015	198	7	30	22.78	26.95	26.95	26.95	26.95	26.95	26.95	26.95	26.95
2015	198	8	0	23.04	30.37	30.37	30.37	30.37	30.37	30.37	30.37	30.37
2015	198	8	30	23.38	33.49	33.49	33.49	33.49	33.49	33.49	33.49	33.49
2015	198	9	0	23.69	36.68	36.68	36.68	36.68	36.68	36.68	36.68	36.68
2015	198	9	30	24.09	40.20	40.20	40.20	40.20	40.20	40.20	40.20	40.20
2015	198	10	0	24.31	41.40	41.40	41.40	41.40	41.40	41.40	41.40	41.40
2015	198	10	30	24.46	43.57	43.57	43.57	43.57	43.57	43.57	43.57	43.57
2015	198	11	0	24.52	44.11	44.11	44.11	44.11	44.11	44.11	44.11	44.11
2015	198	11	30	24.66	46.40	46.40	46.40	46.40	46.40	46.40	46.40	46.40
2015	198	12	0	24.85	48.33	48.33	48.33	48.33	48.33	48.33	48.33	48.33
2015	198	12	30	24.92	49.53	49.53	49.53	49.53	49.53	49.53	49.53	49.53
2015	198	13	0	24.95	50.18	50.18	50.18	50.18	50.18	50.18	50.18	50.18
2015	198	13	30	25.09	50.89	50.89	50.89	50.89	50.89	50.89	50.89	50.89
2015	198	14	0	25.18	40.64	40.64	40.64	40.64	40.64	40.64	40.64	40.64
2015	198	14	30	25.36	43.13	43.13	43.13	43.13	43.13	43.13	43.13	43.13
2015	198	15	0	25.46	49.19	49.19	49.19	49.19	49.19	49.19	49.19	49.19
2015	198	15	30	25.38	49.41	49.41	49.41	49.41	49.41	49.41	49.41	49.41
2015	198	16	0	25.36	47.58	47.58	47.58	47.58	47.58	47.58	47.58	47.58
2015	198	16	30	25.33	38.09	38.09	38.09	38.09	38.09	38.09	38.09	38.09
2015	198	17	0	25.28	36.98	36.98	36.98	36.98	36.98	36.98	36.98	36.98
2015	198	17	30	25.17	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50
2015	198	18	0	25.01	33.77	33.77	33.77	33.77	33.77	33.77	33.77	33.77
2015	198	18	30	24.86	32.43	32.43	32.43	32.43	32.43	32.43	32.43	32.43
2015	198	19	0	24.75	33.26	33.26	33.26	33.26	33.26	33.26	33.26	33.26
2015	198	19	30	24.5	30.88	30.88	30.88	30.88	30.88	30.88	30.88	30.88
2015	198	20	0	24.26	28.15	28.15	28.15	28.15	28.15	28.15	28.15	28.15
2015	198	20	30	24	26.40	26.40	26.40	26.40	26.40	26.40	26.40	26.40
2015	198	21	0	23.75	25.35	25.35	25.35	25.35	25.35	25.35	25.35	25.35
2015	198	21	30	23.55	25.13	25.13	25.13	25.13	25.13	25.13	25.13	25.13
2015	198	22	0	23.41	25.15	25.15	25.15	25.15	25.15	25.15	25.15	25.15
2015	198	22	30	23.3	24.77	24.77	24.77	24.77	24.77	24.77	24.77	24.77
2015	198	23	0	23.2	24.47	24.47	24.47	24.47	24.47	24.47	24.47	24.47
2015	198	23	30	23.08	24.51	24.51	24.51	24.51	24.51	24.51	24.51	24.51
2015	199	0	0	22.99	24.14	24.14	24.14	24.14	24.14	24.14	24.14	24.14
2015	199	0	30	22.89	23.98	23.98	23.98	23.98	23.98	23.98	23.98	23.98
2015	199	1	0	22.77	22.88	22.88	22.88	22.88	22.88	22.88	22.88	22.88
2015	199	1	30	22.62	21.53	21.53	21.53	21.53	21.53	21.53	21.53	21.53
2015	199	2	0	22.52	20.05	20.05	20.05	20.05	20.05	20.05	20.05	20.05
2015	199	2	30	22.38	19.93	19.93	19.93	19.93	19.93	19.93	19.93	19.93
2015	199	3	0	22.28	20.72	20.72	20.72	20.72	20.72	20.72	20.72	20.72
2015	199	3	30	22.18	20.41	20.41	20.41	20.41	20.41	20.41	20.41	20.41
2015	199	4	0	22.12	20.17	20.17	20.17	20.17	20.17	20.17	20.17	20.17
2015	199	4	30	22.06	19.86	19.86	19.86	19.86	19.86	19.86	19.86	19.86
2015	199	5	0	22.09	19.41	19.41	19.41	19.41	19.41	19.41	19.41	19.41
2015	199	5	30	22.11	19.78	19.78	19.78	19.78	19.78	19.78	19.78	19.78
2015	199	6	0	22.21	20.39	20.39	20.39	20.39	20.39	20.39	20.39	20.39
2015	199	6	30	22.33	22.08	22.08	22.08	22.08	22.08	22.08	22.08	22.08
2015	199	7	0	22.48	25.76	25.76	25.76	25.76	25.76	25.76	25.76	25.76
2015	199	7	30	22.49	23.96	23.96	23.96	23.96	23.96	23.96	23.96	23.96
2015	199	8	0	22.25	21.85	21.85	21.85	21.85	21.85	21.85	21.85	21.85
2015	199	8	30	21.96	20.42	20.42	20.42	20.42	20.42	20.42	20.42	20.42
2015	199	9	0	21.96	19.44	19.44	19.44	19.44	19.44	19.44	19.44	19.44
2015	199	9	30	22.04	19.48	19.48	19.48	19.48	19.48	19.48	19.48	19.48
2015	199	10	0	22.09	20.90	20.90	20.90	20.90	20.90	20.90	20.90	20.90
2015	199	10	30	22.16	20.88	20.88	20.88	20.88	20.88	20.88	20.88	20.88
2015	199	11	0	22.31	21.13	21.13	21.13	21.13	21.13	21.13	21.13	21.13
2015	199	11	30	22.54	21.59	21.59	21.59	21.59	21.59	21.59	21.59	21.59
2015	199	12	0	22.81	24.24	24.24	24.24	24.24	24.24	24.24	24.24	24.24
2015	199	12	30	23.09	27.66	27.66	27.66	27.66	27.66	27.66	27.66	27.66
2015	199	13	0	23.39	29.55	29.55	29.55	29.55	29.55	29.55	29.55	29.55
2015	199	13	30	23.67	34.04	34.04	34.04	34.04	34.04	34.04	34.04	34.04
2015	199	14	0	23.89	37.96	37.96	37.96	37.96	37.96	37.96	37.96	37.96
2015	199	14	30	24.03	40.62	40.62	40.62	40.62	40.62	40.62	40.62	40.62
2015	199	15	0	24.13	41.69	41.69	41.69	41.69	41.69	41.69	41.69	41.69
2015	199	15	30	24.22	41.98	41.98	41.98	41.98	41.98	41.98	41.98	41.98
2015	199	16	0	24.4	41.03	41.03	41.03	41.03	41.03	41.03	41.03	41.03
2015	199	16	30	24.39	39.91	39.91	39.91	39.91	39.91	39.91	39.91	39.91
2015	199	17	0	24.43	39.08	39.08	39.08	39.08	39.08	39.08	39.08	39.08
2015	199	17	30	24.36	37.03	37.03	37.03	37.03	37.03	37.03	37.03	37.03
2015	199	18	0	24.35	34.80	34.80	34.80	34.80	34.80	34.80	34.80	34.80
2015	199	18	30	24.26	31.13	31.13	31.13	31.13	31.13	31.13	31.13	31.13
2015	199	19	0	24.14	29.94	29.94	29.94	29.94	29.94	29.94	29.94	29.94
2015	199	19	30	23.99	25.79	25.79	25.79	25.79	25.79	25.79	25.79	25.79
2015	199	20	0	23.79	22.97	22.97	22.97	22.97	22.97	22.97	22.97	22.97
2015	199	20	30	23.56	21.64	21.64	21.64	21.64	21.64	21.64	21.64	21.64
2015	199	21	0	23.41	21.51	21.51	21.51	21.51	21.51	21.51	21.51	21.51
2015	199	21	30	23.17	21.62	21.62	21.62	21.62	21.62	21.62	21.62	21.62
2015	199	22	0	22.98	21.53	21.53	21.53	21.53	21.53	21.53	21.53	21.53
2015	199	22	30	22.88	20.68	20.68	20.68	20.68	20.68	20.68	20.68	20.68
2015	199	23	0	22.85	20.88	20.88	20.88	20.88	20.88	20.88	20.88	20.88
2015	199	23	30	22.77	21.57	21.57	21.57	21.57	21.57	21.57	21.57	21.57
2015	200	0	0	22.69	21.47	21.47	21.47	21.47	21.47	21.47	21.47	21.47
2015	200	0	30	22.57	21.14	21.14	21.14	21.14	21.14	21.14	21.14	21.14
2015	200	1	0	22.46	21.21	21.21	21.21	21.21	21.21	21.21	21.21	21.21
2015	200	1	30	22.36	19.98	19.98	19.98	19.98	19.98	19.98	19.98	19.98
2015	200	2	0	22.23	19.67	19.67	19.67	19.67	19.67	19.67	19.67	19.67
2015	200	2	30	22.16	19.25	19.25	19.25	19.25	19.25	19.25	19.25	19.25
2015	200	3	0	22.15	19.29	19.29	19.29	19.29	19.29	19.29	19.29	19.29
2015	200	3	30	22.09	19.42	19.42	19.42	19.42	19.42	19.42	19.42	19.42
2015	200	4	0	22.08	19.14	19.14	19.14	19.14	19.14	19.14	19.14	19.14
2015	200	4	30	22.02	19.16	19.16	19.16	19.16	19.16	19.16	19.16	19.16
2015	200	5	0	22.3	19.82	19.82	19.82	19.82	19.82	19.82	19.82	19.82
2015	200	5	30	22.26	18.86	18.86	18.86	18.86	18.86	18.86	18.86	18.86
2015	200	6	0	22.1	19.37	19.37	19.37	19.37	19.37	19.37	19.37	19.37
2015	200	6	30	22.16	19.92	19.92	19.92	19.92	19.92	19.92	19.92	19.92
2015	200	7	0	22.16	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00
2015	200	7	30	22.29	21.50	21.50	21.50	21.50	21.50	21.50	21.50	21.50
2015	200	8	0	22.38	22.28	22.28	22.28	22.28	22.28	22.28	22.28	22.28
2015	200	8	30	22.44	23.23	23.23	23.23	23.23	23.23	23.23	23.23	23.23
2015	200	9	0	22.59	22.52	22.52	22.52	22.52	22.52	22.52	22.52	22.52
2015	200	9	30	22.72	23.89	23.89	23.89	23.89	23.89	23.89	23.89	23.89
2015	200	10	0	22.84	24.80	24.80	24.80	24.80	24.80	24.80	24.80	24.80
2015	200	10	30	22.97	25.15	25.15	25.15	25.15	25.15	25.15	25.15	25.15
2015	200	11	0	23.1	28.14	28.14	28.14	28.14	28.14	28.14	28.14	28.14
2015	200	11	30	23.45	29.00	29.00	29.00	29.00	29.00	29.00	29.00	29.00
2015	200	12	0	23.72	29.32	29.32	29.32	29.32	29.32	29.32	29.32	29.32
2015	200	12	30	23.8	34.83	34.83	34.83	34.83	34.83	34.83	34.83	34.83
2015	200	13	0	23.97	39.85	39.85	39.85	39.85	39.85	39.85	39.85	39.85
2015	200	13	30	24.17	35.14	35.14	35.14	35.14	35.14	35.14	35.14	35.14
2015	200	14	0	24.15	38.68	38.68	38.68	38.68	38.68	38.68	38.68	38.68
2015	200	14	30	24.08	41.04	41.04	41.04	41.04	41.04	41.04	41.04	41.04
2015	200	15	0	24.12	40.77	40.77	40.77	40.77	40.77	40.77	40.77	40.77
2015	200	15	30	24.16	39.67	39.67	39.67	39.67	39.67	39.67	39.67	39.67
2015	200	16	0	24.14	37.41	37.41	37.41	37.41	37.41	37.41	37.41	37.41
2015	200	16	30	24.13	32.04	32.04	32.04	32.04	32.04	32.04	32.04	32.04
2015	200	17	0	24.14	31.75	31.75	31.75	31.75	31.75	31.75	31.75	31.75
2015	200	17	30	24.12	34.50	34.50	34.50	34.50	34.50	34.50	34.50	34.50
2015	200	18	0	24.05	31.68	31.68	31.68	31.68	31.68	31.68	31.68	31.68
2015	200	18	30	23.97	31.41	31.41	31.41	31.41	31.41	31.41	31.41	31.41
2015	200	19	0	23.85	30.54	30.54	30.54	30.54	30.54	30.54	30.54	30.54
2015	200	19	30	23.7	26.79	26.79	26.79	26.79	26.79	26.79	26.79	26.79
2015	200	20	0	23.54	25.77	25.77	25.77	25.77	25.77	25.77	25.77	25.77
2015	200	20	30	23.42	24.43	24.43	24.43	24.43	24.43	24.43	24.43	24.43
2015	200	21	0	23.27	24.19	24.19	24.19	24.19	24.19	24.19	24.19	24.19
2015	200	21	30	23.08	23.48	23.48	23.48	23.48	23.48	23.48	23.48	23.48
2015	200	22	0	22.91	21.93	21.93	21.93	21.93	21.93	21.93	21.93	21.93
2015	200	22	30	22.76	22.24	22.24	22.24	22.24	22.24	22.24	22.24	22.24
2015	200	23	0	22.62	21.48	21.48	21.48	21.48	21.48	21.48	21.48	21.48
2015	200	23	30	22.5	19.24	19.24	19.24	19.24	19.24	19.24	19.24	19.24
2015	201	0	0	22.45	17.43	17.43	17.43	17.43	17.43	17.43	17.43	17.43
2015	201	0	30	22.37	17.88	17.88	17.88	17.88	17.88	17.88	17.88	17.88
2015	201	1	0	22.22	17.64	17.64	17.64	17.64	17.64	17.64	17.64	17.64
2015	201	1	30	22.2	16.33	16.33	16.33	16.33	16.33	16.33	16.33	16.33
2015	201	2	0	22.1	17.28	17.28	17.28	17.28	17.28	17.28	17.28	17.28
2015	201	2	30	21.98	17.22	17.22	17.22	17.22	17.22	17.22	17.22	17.22
2015	201	3	0	21.94	17.25	17.25	17.25	17.25	17.25	17.25	17.25	17.25
2015	201	3	30	21.79	16.85	16.85	16.85	16.85	16.85	16.85	16.85	16.85
2015	201	4	0	21.73	16.92	16.92	16.92	16.92	16.92	16.92	16.92	16.92
2015	201	4	30	21.7	15.60	15.60	15.60	15.60	15.60	15.60	15.60	15.60
2015	201	5	0	21.78	16.05	16.05	16.05	16.05	16.05	16.05	16.05	16.05
2015	201	5	30	21.9	15.99	15.99	15.99	15.99	15.99	15.99	15.99	15.99
2015	201	6	0	22.05	18.19	18.19	18.19	18.19	18.19	18.19	18.19	18.19
2015	201	6	30	22.24	18.82	18.82	18.82	18.82	18.82	18.82	18.82	18.82
2015	201	7	0	22.37	22.73	22.73	22.73	22.73	22.73	22.73	22.73	22.73
2015	201	7	30	22.54	26.03	26.03	26.03	26.03	26.03	26.03	26.03	26.03
