%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2015 197 0 30 9.85 -999.00 -999.00 -999.00 -999.00 1.68 74.79 19.84 98.53 0.00 0.00 -999.00 409.12 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 41.33
2015 197 1 0 5.35 -999.00 -999.00 -999.00 -999.00 2.15 74.34 19.81 98.53 0.00 0.00 -999.00 406.61 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 44.62
2015 197 1 30 6.08 -999.00 -999.00 -999.00 -999.00 2.05 75.33 19.51 98.54 0.00 0.00 -999.00 406.37 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 46.20
2015 197 2 0 5.60 -999.00 -999.00 -999.00 -999.00 2.07 77.04 19.09 98.54 0.00 0.00 -999.00 403.45 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 44.05
2015 197 2 30 2.89 -999.00 -999.00 -999.00 -999.00 2.52 76.24 19.16 98.53 0.00 0.00 -999.00 403.05 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 50.07
2015 197 3 0 3.55 -999.00 -999.00 -999.00 -999.00 2.38 76.87 18.87 98.52 0.00 0.00 -999.00 401.98 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 57.02
2015 197 3 30 4.22 -999.00 -999.00 -999.00 -999.00 2.08 78.29 18.53 98.53 0.00 0.00 -999.00 399.90 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 53.98
2015 197 4 0 2.52 -999.00 -999.00 -999.00 -999.00 2.75 79.05 18.28 98.53 0.00 0.00 -999.00 398.89 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 46.02
2015 197 4 30 1.61 -999.00 -999.00 -999.00 -999.00 2.75 78.94 18.15 98.53 0.00 0.00 -999.00 397.55 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 52.25
2015 197 5 0 1.66 -999.00 -999.00 -999.00 -999.00 2.66 79.18 18.02 98.54 0.00 0.00 -999.00 397.04 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 53.69
2015 197 5 30 12.82 -999.00 -999.00 -999.00 -999.00 2.92 80.04 17.77 98.54 0.00 16.68 -999.00 396.11 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 50.22
2015 197 6 0 46.86 -999.00 -999.00 -999.00 -999.00 3.05 79.47 17.93 98.55 0.00 72.39 -999.00 396.88 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 49.99
2015 197 6 30 102.24 -999.00 -999.00 -999.00 -999.00 2.43 76.76 18.63 98.57 0.00 142.51 -999.00 400.32 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 48.66
2015 197 7 0 139.09 -999.00 -999.00 -999.00 -999.00 2.37 72.01 19.73 98.58 0.00 223.86 -999.00 406.26 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 30.90
2015 197 7 30 191.34 -999.00 -999.00 -999.00 -999.00 1.00 67.21 21.02 98.60 0.00 312.24 -999.00 414.09 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 84.94
2015 197 8 0 246.50 -999.00 -999.00 -999.00 -999.00 0.88 63.88 22.22 98.60 0.00 398.65 -999.00 421.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 250.48
2015 197 8 30 300.94 -999.00 -999.00 -999.00 -999.00 0.91 60.23 23.41 98.60 0.00 482.17 -999.00 428.13 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 243.30
2015 197 9 0 346.13 -999.00 -999.00 -999.00 -999.00 0.86 56.51 24.48 98.60 0.00 550.65 -999.00 435.46 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 221.62
2015 197 9 30 339.92 -999.00 -999.00 -999.00 -999.00 0.90 57.46 25.85 98.59 0.00 641.54 -999.00 379.12 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 191.88
2015 197 10 0 365.92 -999.00 -999.00 -999.00 -999.00 1.01 47.98 26.66 98.58 0.00 707.19 -999.00 367.11 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 222.06
2015 197 10 30 406.78 -999.00 -999.00 -999.00 -999.00 0.96 46.02 27.15 98.56 0.00 770.81 -999.00 370.72 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 216.40
2015 197 11 0 438.72 -999.00 -999.00 -999.00 -999.00 1.17 43.76 28.40 98.55 0.00 818.67 -999.00 375.68 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 283.91
2015 197 11 30 462.30 -999.00 -999.00 -999.00 -999.00 1.45 43.06 29.32 98.53 0.00 853.01 -999.00 381.36 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 296.34
2015 197 12 0 479.50 -999.00 -999.00 -999.00 -999.00 1.87 40.33 29.94 98.51 0.00 875.11 -999.00 384.14 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 282.34
2015 197 12 30 478.68 -999.00 -999.00 -999.00 -999.00 1.78 38.48 30.67 98.48 0.00 877.81 -999.00 386.28 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 313.82
2015 197 13 0 491.76 -999.00 -999.00 -999.00 -999.00 1.80 35.74 31.37 98.44 0.00 900.93 -999.00 388.63 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 324.08
2015 197 13 30 485.26 -999.00 -999.00 -999.00 -999.00 2.51 34.41 31.95 98.40 0.00 885.91 -999.00 390.98 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 246.88
2015 197 14 0 477.98 -999.00 -999.00 -999.00 -999.00 2.37 29.44 32.40 98.38 0.00 881.51 -999.00 391.51 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 125.75
2015 197 14 30 428.66 -999.00 -999.00 -999.00 -999.00 2.53 29.37 32.60 98.36 0.00 804.98 -999.00 392.46 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 117.00
2015 197 15 0 423.06 -999.00 -999.00 -999.00 -999.00 2.64 28.80 32.85 98.35 0.00 796.78 -999.00 393.56 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 233.68
2015 197 15 30 284.35 -999.00 -999.00 -999.00 -999.00 1.53 28.23 32.87 98.33 0.00 593.97 -999.00 395.66 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 108.05
2015 197 16 0 344.13 -999.00 -999.00 -999.00 -999.00 2.00 27.96 33.20 98.31 0.00 687.47 -999.00 397.01 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 119.03
2015 197 16 30 300.11 -999.00 -999.00 -999.00 -999.00 2.84 28.14 33.27 98.30 0.00 615.54 -999.00 395.39 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 120.82
2015 197 17 0 239.93 -999.00 -999.00 -999.00 -999.00 2.73 28.77 33.24 98.28 0.00 525.41 -999.00 396.09 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 113.14
2015 197 17 30 174.54 -999.00 -999.00 -999.00 -999.00 2.37 29.37 33.12 98.26 0.00 425.93 -999.00 395.79 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 232.06
2015 197 18 0 130.34 -999.00 -999.00 -999.00 -999.00 2.29 29.55 32.99 98.24 0.00 358.72 -999.00 394.10 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 323.27
2015 197 18 30 61.40 -999.00 -999.00 -999.00 -999.00 1.63 31.19 32.53 98.24 0.00 248.97 -999.00 391.57 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 323.34
2015 197 19 0 21.88 -999.00 -999.00 -999.00 -999.00 1.28 42.76 30.32 98.24 0.00 175.26 -999.00 388.19 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 345.10
2015 197 19 30 -17.11 -999.00 -999.00 -999.00 -999.00 0.84 48.06 27.94 98.23 0.00 98.28 -999.00 380.03 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 132.39
2015 197 20 0 -48.58 -999.00 -999.00 -999.00 -999.00 0.76 52.45 26.38 98.24 0.00 17.23 -999.00 372.74 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 35.05
2015 197 20 30 -54.93 -999.00 -999.00 -999.00 -999.00 1.06 55.27 25.06 98.26 0.00 0.88 -999.00 366.57 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 32.83
2015 197 21 0 -56.52 -999.00 -999.00 -999.00 -999.00 1.49 56.11 24.93 98.29 0.00 0.00 -999.00 362.06 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 56.78
2015 197 21 30 -66.91 -999.00 -999.00 -999.00 -999.00 2.92 52.26 25.33 98.33 0.00 0.00 -999.00 358.20 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 51.29
2015 197 22 0 -73.12 -999.00 -999.00 -999.00 -999.00 3.63 51.51 24.78 98.33 0.00 0.00 -999.00 354.38 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 47.05
2015 197 22 30 -72.13 -999.00 -999.00 -999.00 -999.00 3.47 51.01 24.23 98.34 0.00 0.00 -999.00 351.73 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 48.91
