%iy	id	it	imin	Q*	QH	QE	Qs	Qf	Wind	RH	Td	press	rain	Kdn	snow	ldown	fcld	wuh	xsmd	lai_hr	Kdiff	Kdir	Wd
2015	197	0	30	6.08	-999	-999	-999	-999	2.05	75.33	19.51	98.54	0	0	-999	406.37	-999	-999	-999	-999	-999	-999	46.2
2015	197	1	0	5.6	-999	-999	-999	-999	2.07	77.04	19.09	98.54	0	0	-999	403.45	-999	-999	-999	-999	-999	-999	44.05
2015	197	1	30	2.89	-999	-999	-999	-999	2.52	76.24	19.16	98.53	0	0	-999	403.05	-999	-999	-999	-999	-999	-999	50.07
2015	197	2	0	3.55	-999	-999	-999	-999	2.38	76.87	18.87	98.52	0	0	-999	401.98	-999	-999	-999	-999	-999	-999	57.02
2015	197	2	30	4.22	-999	-999	-999	-999	2.08	78.29	18.53	98.53	0	0	-999	399.9	-999	-999	-999	-999	-999	-999	53.98
2015	197	3	0	2.52	-999	-999	-999	-999	2.75	79.05	18.28	98.53	0	0	-999	398.89	-999	-999	-999	-999	-999	-999	46.02
2015	197	3	30	1.61	-999	-999	-999	-999	2.75	78.94	18.15	98.53	0	0	-999	397.55	-999	-999	-999	-999	-999	-999	52.25
2015	197	4	0	1.66	-999	-999	-999	-999	2.66	79.18	18.02	98.54	0	0	-999	397.04	-999	-999	-999	-999	-999	-999	53.69
2015	197	4	30	12.82	-999	-999	-999	-999	2.92	80.04	17.77	98.54	0	16.68	-999	396.11	-999	-999	-999	-999	-999	-999	50.22
2015	197	5	0	46.86	-999	-999	-999	-999	3.05	79.47	17.93	98.55	0	72.39	-999	396.88	-999	-999	-999	-999	-999	-999	49.99
2015	197	5	30	102.24	-999	-999	-999	-999	2.43	76.76	18.63	98.57	0	142.51	-999	400.32	-999	-999	-999	-999	-999	-999	48.66
2015	197	6	0	139.09	-999	-999	-999	-999	2.37	72.01	19.73	98.58	0	223.86	-999	406.26	-999	-999	-999	-999	-999	-999	30.9
2015	197	6	30	191.34	-999	-999	-999	-999	1	67.21	21.02	98.6	0	312.24	-999	414.09	-999	-999	-999	-999	-999	-999	84.94
2015	197	7	0	246.5	-999	-999	-999	-999	0.88	63.88	22.22	98.6	0	398.65	-999	421	-999	-999	-999	-999	-999	-999	250.48
2015	197	7	30	300.94	-999	-999	-999	-999	0.91	60.23	23.41	98.6	0	482.17	-999	428.13	-999	-999	-999	-999	-999	-999	243.3
2015	197	8	0	346.13	-999	-999	-999	-999	0.86	56.51	24.48	98.6	0	550.65	-999	435.46	-999	-999	-999	-999	-999	-999	221.62
2015	197	8	30	339.92	-999	-999	-999	-999	0.9	57.46	25.85	98.59	0	641.54	-999	379.12	-999	-999	-999	-999	-999	-999	191.88
2015	197	9	0	365.92	-999	-999	-999	-999	1.01	47.98	26.66	98.58	0	707.19	-999	367.11	-999	-999	-999	-999	-999	-999	222.06
2015	197	9	30	406.78	-999	-999	-999	-999	0.96	46.02	27.15	98.56	0	770.81	-999	370.72	-999	-999	-999	-999	-999	-999	216.4
2015	197	10	0	438.72	-999	-999	-999	-999	1.17	43.76	28.4	98.55	0	818.67	-999	375.68	-999	-999	-999	-999	-999	-999	283.91
2015	197	10	30	462.3	-999	-999	-999	-999	1.45	43.06	29.32	98.53	0	853.01	-999	381.36	-999	-999	-999	-999	-999	-999	296.34
2015	197	11	0	479.5	-999	-999	-999	-999	1.87	40.33	29.94	98.51	0	875.11	-999	384.14	-999	-999	-999	-999	-999	-999	282.34
2015	197	11	30	478.68	-999	-999	-999	-999	1.78	38.48	30.67	98.48	0	877.81	-999	386.28	-999	-999	-999	-999	-999	-999	313.82
2015	197	12	0	491.76	-999	-999	-999	-999	1.8	35.74	31.37	98.44	0	900.93	-999	388.63	-999	-999	-999	-999	-999	-999	324.08
2015	197	12	30	485.26	-999	-999	-999	-999	2.51	34.41	31.95	98.4	0	885.91	-999	390.98	-999	-999	-999	-999	-999	-999	246.88
2015	197	13	0	477.98	-999	-999	-999	-999	2.37	29.44	32.4	98.38	0	881.51	-999	391.51	-999	-999	-999	-999	-999	-999	125.75
2015	197	13	30	428.66	-999	-999	-999	-999	2.53	29.37	32.6	98.36	0	804.98	-999	392.46	-999	-999	-999	-999	-999	-999	117
2015	197	14	0	423.06	-999	-999	-999	-999	2.64	28.8	32.85	98.35	0	796.78	-999	393.56	-999	-999	-999	-999	-999	-999	233.68
2015	197	14	30	284.35	-999	-999	-999	-999	1.53	28.23	32.87	98.33	0	593.97	-999	395.66	-999	-999	-999	-999	-999	-999	108.05
2015	197	15	0	344.13	-999	-999	-999	-999	2	27.96	33.2	98.31	0	687.47	-999	397.01	-999	-999	-999	-999	-999	-999	119.03
2015	197	15	30	300.11	-999	-999	-999	-999	2.84	28.14	33.27	98.3	0	615.54	-999	395.39	-999	-999	-999	-999	-999	-999	120.82
2015	197	16	0	239.93	-999	-999	-999	-999	2.73	28.77	33.24	98.28	0	525.41	-999	396.09	-999	-999	-999	-999	-999	-999	113.14
2015	197	16	30	174.54	-999	-999	-999	-999	2.37	29.37	33.12	98.26	0	425.93	-999	395.79	-999	-999	-999	-999	-999	-999	232.06
2015	197	17	0	130.34	-999	-999	-999	-999	2.29	29.55	32.99	98.24	0	358.72	-999	394.1	-999	-999	-999	-999	-999	-999	323.27
2015	197	17	30	61.4	-999	-999	-999	-999	1.63	31.19	32.53	98.24	0	248.97	-999	391.57	-999	-999	-999	-999	-999	-999	323.34
2015	197	18	0	21.88	-999	-999	-999	-999	1.28	42.76	30.32	98.24	0	175.26	-999	388.19	-999	-999	-999	-999	-999	-999	345.1
2015	197	18	30	-17.11	-999	-999	-999	-999	0.84	48.06	27.94	98.23	0	98.28	-999	380.03	-999	-999	-999	-999	-999	-999	132.39
2015	197	19	0	-48.58	-999	-999	-999	-999	0.76	52.45	26.38	98.24	0	17.23	-999	372.74	-999	-999	-999	-999	-999	-999	35.05
2015	197	19	30	-54.93	-999	-999	-999	-999	1.06	55.27	25.06	98.26	0	0.88	-999	366.57	-999	-999	-999	-999	-999	-999	32.83
2015	197	20	0	-56.52	-999	-999	-999	-999	1.49	56.11	24.93	98.29	0	0	-999	362.06	-999	-999	-999	-999	-999	-999	56.78
2015	197	20	30	-66.91	-999	-999	-999	-999	2.92	52.26	25.33	98.33	0	0	-999	358.2	-999	-999	-999	-999	-999	-999	51.29
2015	197	21	0	-73.12	-999	-999	-999	-999	3.63	51.51	24.78	98.33	0	0	-999	354.38	-999	-999	-999	-999	-999	-999	47.05
2015	197	21	30	-72.13	-999	-999	-999	-999	3.47	51.01	24.23	98.34	0	0	-999	351.73	-999	-999	-999	-999	-999	-999	48.91
2015	197	22	0	-71.24	-999	-999	-999	-999	3.46	53.29	23.2	98.34	0	0	-999	348.2	-999	-999	-999	-999	-999	-999	52.91
2015	197	22	30	-70.76	-999	-999	-999	-999	3.6	53.15	22.65	98.35	0	0	-999	346.32	-999	-999	-999	-999	-999	-999	49.29
2015	197	23	0	-69.56	-999	-999	-999	-999	3.48	53.92	22.08	98.36	0	0	-999	344.73	-999	-999	-999	-999	-999	-999	47.09
2015	197	23	30	-66.33	-999	-999	-999	-999	3.2	53.62	21.92	98.37	0	0	-999	344.78	-999	-999	-999	-999	-999	-999	51.59
2015	198	0	0	-65.4	-999	-999	-999	-999	3.1	54.17	21.68	98.36	0	0	-999	345.02	-999	-999	-999	-999	-999	-999	58.01
2015	198	0	30	-64.49	-999	-999	-999	-999	3.31	53.84	21.7	98.36	0	0	-999	346.14	-999	-999	-999	-999	-999	-999	51.01
2015	198	1	0	-64.18	-999	-999	-999	-999	3.2	55.18	21.26	98.36	0	0	-999	344.73	-999	-999	-999	-999	-999	-999	54.15
2015	198	1	30	-61.35	-999	-999	-999	-999	2.75	55.52	21.11	98.35	0	0	-999	344.94	-999	-999	-999	-999	-999	-999	66.07
2015	198	2	0	-60	-999	-999	-999	-999	2.63	54.45	21.21	98.35	0	0	-999	347.51	-999	-999	-999	-999	-999	-999	71.13
2015	198	2	30	-58.88	-999	-999	-999	-999	3.21	54.62	21.11	98.36	0	0	-999	348.5	-999	-999	-999	-999	-999	-999	60.77
2015	198	3	0	-51.37	-999	-999	-999	-999	1.72	57.54	20.34	98.39	0	0	-999	348.63	-999	-999	-999	-999	-999	-999	69.11
2015	198	3	30	-53.62	-999	-999	-999	-999	3.07	60.1	19.54	98.4	0	0	-999	346.47	-999	-999	-999	-999	-999	-999	42.52
2015	198	4	0	-51.86	-999	-999	-999	-999	2.36	61.56	19.12	98.39	0	0	-999	345.73	-999	-999	-999	-999	-999	-999	58.07
2015	198	4	30	-44.37	-999	-999	-999	-999	3.39	60.73	19.26	98.39	0	12.46	-999	348.14	-999	-999	-999	-999	-999	-999	51.62
2015	198	5	0	-17.75	-999	-999	-999	-999	3.06	59.45	19.62	98.42	0	58.48	-999	348.96	-999	-999	-999	-999	-999	-999	52.11
2015	198	5	30	28.66	-999	-999	-999	-999	3.35	56.54	20.61	98.42	0	124.37	-999	352.03	-999	-999	-999	-999	-999	-999	48.32
2015	198	6	0	62	-999	-999	-999	-999	3.07	53.43	22.02	98.44	0	205.22	-999	356.15	-999	-999	-999	-999	-999	-999	41.47
2015	198	6	30	109.75	-999	-999	-999	-999	2.78	51.02	23.39	98.44	0	287.54	-999	360.11	-999	-999	-999	-999	-999	-999	39.96
2015	198	7	0	157.13	-999	-999	-999	-999	2.29	48.89	24.82	98.46	0	370.06	-999	364.57	-999	-999	-999	-999	-999	-999	34.4
2015	198	7	30	208.91	-999	-999	-999	-999	2.34	46.2	26.25	98.48	0	454.37	-999	370.17	-999	-999	-999	-999	-999	-999	21.33
2015	198	8	0	257.6	-999	-999	-999	-999	1.9	43.52	27.48	98.49	0	533.71	-999	376.19	-999	-999	-999	-999	-999	-999	7.58
2015	198	8	30	304.98	-999	-999	-999	-999	1.64	40.27	28.96	98.48	0	613.35	-999	383.42	-999	-999	-999	-999	-999	-999	22.52
2015	198	9	0	357.98	-999	-999	-999	-999	2.55	38.95	30.06	98.48	0	678.15	-999	388.69	-999	-999	-999	-999	-999	-999	283.97
2015	198	9	30	398.39	-999	-999	-999	-999	2.43	38.32	30.65	98.49	0	742.31	-999	392.13	-999	-999	-999	-999	-999	-999	304.97
2015	198	10	0	438.74	-999	-999	-999	-999	3.53	35.48	31.48	98.49	0	790.82	-999	393.53	-999	-999	-999	-999	-999	-999	298.65
2015	198	10	30	460.06	-999	-999	-999	-999	2.88	33.45	32.23	98.49	0	836.8	-999	395.1	-999	-999	-999	-999	-999	-999	293.9
2015	198	11	0	472.02	-999	-999	-999	-999	2.19	33.85	32.57	98.49	0	866.42	-999	397.93	-999	-999	-999	-999	-999	-999	296.97
2015	198	11	30	472.25	-999	-999	-999	-999	1.75	32.78	32.97	98.47	0	874.83	-999	400.35	-999	-999	-999	-999	-999	-999	291.81
2015	198	12	0	480.34	-999	-999	-999	-999	2.07	30.56	33.67	98.44	0	887.16	-999	402.43	-999	-999	-999	-999	-999	-999	289.21
2015	198	12	30	465.95	-999	-999	-999	-999	1.8	29.18	34.05	98.39	0	875.08	-999	404.2	-999	-999	-999	-999	-999	-999	326.62
2015	198	13	0	124.22	-999	-999	-999	-999	1.36	30.32	33.56	98.38	0	327.1	-999	413.22	-999	-999	-999	-999	-999	-999	251.78
2015	198	13	30	230.95	-999	-999	-999	-999	1.36	28.74	34	98.34	0	488.17	-999	418.13	-999	-999	-999	-999	-999	-999	193.77
2015	198	14	0	405.32	-999	-999	-999	-999	1.69	26.62	34.97	98.31	0	779.76	-999	414.12	-999	-999	-999	-999	-999	-999	181.79
2015	198	14	30	377.06	-999	-999	-999	-999	1.74	23.13	35.14	98.29	0	754.11	-999	406.96	-999	-999	-999	-999	-999	-999	212.18
2015	198	15	0	291.13	-999	-999	-999	-999	1.8	22.65	35.73	98.28	0	623.29	-999	409.3	-999	-999	-999	-999	-999	-999	213.41
2015	198	15	30	55.63	-999	-999	-999	-999	1.53	24.93	34.55	98.26	0	215.73	-999	415.56	-999	-999	-999	-999	-999	-999	138.49
2015	198	16	0	53.42	-999	-999	-999	-999	1.08	28.86	33.78	98.25	0	190.69	-999	427.12	-999	-999	-999	-999	-999	-999	98.91
2015	198	16	30	41.19	-999	-999	-999	-999	1.14	35.67	32.73	98.22	0	167.52	-999	423.15	-999	-999	-999	-999	-999	-999	105.55
2015	198	17	0	23.15	-999	-999	-999	-999	1.04	40.16	31.8	98.22	0	129.23	-999	423.63	-999	-999	-999	-999	-999	-999	104.56
2015	198	17	30	11.73	-999	-999	-999	-999	1.94	37.17	31.97	98.23	0	103.93	-999	423.67	-999	-999	-999	-999	-999	-999	123.63
2015	198	18	0	32.37	-999	-999	-999	-999	2.65	36.49	32.28	98.23	0	151.26	-999	416.15	-999	-999	-999	-999	-999	-999	150.99
2015	198	18	30	-10.04	-999	-999	-999	-999	1.51	39.81	31.36	98.24	0	90.19	-999	406.6	-999	-999	-999	-999	-999	-999	129.07
