From,To,Action,File,Variable,Column,Value
2017a,2017c,Delete,RunControl.nml,anthropco2method,-999,-999
2017a,2017c,Rename,RunControl.nml,AnthropHeatMethod,-999,EmissionsMethod
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,AHMin_WD,9,15
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,AHMin_WE,10,15
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,AHSlope_Heating_WD,11,2.7
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,AHSlope_Heating_WE,12,2.7
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,AHSlope_Cooling_WD,13,2.7
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,AHSlope_Cooling_WE,14,2.7
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,TCritic_Heating_WD,15,7
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,TCritic_Heating_WE,16,7
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,TCritic_Cooling_WD,17,7
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,TCritic_Cooling_WE,18,7
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,EnergyUseProfWD,19,44
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,EnergyUseProfWE,20,45
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,ActivityProfWD,21,55663
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,ActivityProfWE,22,55664
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,TraffProfWD,23,701
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,TraffProfWE,24,702
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,PopProfWD,25,801
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,PopProfWE,26,802
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,MinQFMetab,27,75
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,MaxQFMetab,28,175
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,FrFossilFuel_Heat,29,0.05
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,FrFossilFuel_NonHeat,30,0
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,EF_umolCO2perJ,31,1.159
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,EnEF_v_Jkm,32,3.97E+06
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,FcEF_v_kgkm,33,0.285
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,TrafficUnits,34,1
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,EnergyUseProfWD,19,-999
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,EnergyUseProfWE,20,-999
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,ActivityProfWD,21,-999
2017a,2017c,Add,SUEWS_AnthropogenicHeat.txt,ActivityProfWE,22,-999
2017a,2017c,Delete,SUEWS_AnthropogenicHeat.txt,AHMin,-999,-999
2017a,2017c,Delete,SUEWS_AnthropogenicHeat.txt,AHSlope,-999,-999
2017a,2017c,Delete,SUEWS_AnthropogenicHeat.txt,TCritic,-999,-999
2017a,2017c,Rename,SUEWS_AnthropogenicHeat.txt,QF_A_Weekday,-999,QF_A_WD
2017a,2017c,Rename,SUEWS_AnthropogenicHeat.txt,QF_B_Weekday,-999,QF_B_WD
2017a,2017c,Rename,SUEWS_AnthropogenicHeat.txt,QF_C_Weekday,-999,QF_C_WD
2017a,2017c,Rename,SUEWS_AnthropogenicHeat.txt,QF_A_Weekend,-999,QF_A_WE
2017a,2017c,Rename,SUEWS_AnthropogenicHeat.txt,QF_B_Weekend,-999,QF_B_WE
2017a,2017c,Rename,SUEWS_AnthropogenicHeat.txt,QF_C_Weekend,-999,QF_C_WE
2017a,2017c,Add,SUEWS_BiogenCO2.txt,Code,1,32
2017a,2017c,Add,SUEWS_BiogenCO2.txt,alpha,2,0.004
2017a,2017c,Add,SUEWS_BiogenCO2.txt,beta,3,8.747
2017a,2017c,Add,SUEWS_BiogenCO2.txt,theta,4,0.96
2017a,2017c,Add,SUEWS_BiogenCO2.txt,alpha_enh,5,0.016
2017a,2017c,Add,SUEWS_BiogenCO2.txt,beta_enh,6,33.353
2017a,2017c,Add,SUEWS_BiogenCO2.txt,resp_a,7,2.43
2017a,2017c,Add,SUEWS_BiogenCO2.txt,resp_b,8,0
2017a,2017c,Add,SUEWS_BiogenCO2.txt,min_respi,9,0.6
2017a,2017c,Delete,SUEWS_SiteSelect.txt,TrafficRate,-999,-999
2017a,2017c,Delete,SUEWS_SiteSelect.txt,BuildEnergyUse,-999,-999
2017a,2017c,Delete,SUEWS_SiteSelect.txt,EnergyUseProfWD,-999,-999
2017a,2017c,Delete,SUEWS_SiteSelect.txt,EnergyUseProfWE,-999,-999
2017a,2017c,Delete,SUEWS_SiteSelect.txt,ActivityProfWD,-999,-999
2017a,2017c,Delete,SUEWS_SiteSelect.txt,ActivityProfWE,-999,-999
2017a,2017c,Add,SUEWS_SiteSelect.txt,TrafficRate_WD,34,0.01
2017a,2017c,Add,SUEWS_SiteSelect.txt,TrafficRate_WE,35,0.01
2017a,2017c,Add,SUEWS_SiteSelect.txt,QF0_BEU_WD,36,0.88
2017a,2017c,Add,SUEWS_SiteSelect.txt,QF0_BEU_WE,37,0.88
2017a,2017c,Add,SUEWS_Veg.txt,BiogenCO2Code,38,31
