No.,Column Name,Use,Description
1,`Code`,`L`,Code linking to a corresponding look-up table.
2,`G1`,`MD`,Related to maximum surface conductance [mm |s^-1|]
3,`G2`,`MD`,Related to Kdown dependence [W |m^-2|]
4,`G3`,`MD`,Related to VPD dependence [units depend on `gsModel`]
5,`G4`,`MD`,Related to VPD dependence [units depend on `gsModel`]
6,`G5`,`MD`,Related to temperature dependence [°C]
7,`G6`,`MD`,Related to soil moisture dependence [|mm^-1|]
8,`TH`,`MD`,Upper air temperature limit [°C]
9,`TL`,`MD`,Lower air temperature limit [°C]
10,`S1`,`MD`,A parameter related to soil moisture dependence [-]
11,`S2`,`MD`,A parameter related to soil moisture dependence [mm]
12,`Kmax`,`MD`,Maximum incoming shortwave radiation [W |m^-2|]
13,`gsModel`,`MD`,Formulation choice for conductance calculation.
