No.,Column Name,Use,Description
1,`Grid`,`MU`,a unique number to represent grid
2,`Year`,`MU`,Year [YYYY]
3,`StartDLS`,`MU`,Start of the day light savings [DOY]
4,`EndDLS`,`MU`,End of the day light savings [DOY]
5,`lat`,`MU`,Latitude [deg].
6,`lng`,`MU`,longitude [deg]
7,`Timezone`,`MU`,Time zone [h] for site relative to UTC (east is positive). This should be set according to the times given in the meteorological forcing file(s).
8,`SurfaceArea`,`MU`,Area of the grid [ha].
9,`Alt`,`MU`,Altitude of grids [m].
10,`z`,`MU`,Measurement height [m].
11,`id`,`MD`,Day of year [DOY]
12,`ih`,`MD`,Hour [H]
13,`imin`,`MD`,Minute [M]
14,`Fr_Paved`,`MU`,Surface cover fraction of `Paved` surfaces [-]
15,`Fr_Bldgs`,`MU`,Surface cover fraction of buildings [-]
16,`Fr_EveTr`,`MU`,Surface cover fraction of `EveTr`: evergreen trees and shrubs [-]
17,`Fr_DecTr`,`MU`,Surface cover fraction of deciduous trees and shrubs [-]
18,`Fr_Grass`,`MU`,Surface cover fraction of `Grass` [-]
19,`Fr_Bsoil`,`MU`,Surface cover fraction of bare soil or unmanaged land [-]
20,`Fr_Water`,`MU`,Surface cover fraction of open water [-]
21,`IrrFr_Paved`,`MU`,Fraction of `Paved` that is irrigated [-]
21,`IrrFr_Bldgs`,`MU`,Fraction of `Bldgs` that is irrigated [-]
21,`IrrFr_EveTr`,`MU`,Fraction of `EveTr` that is irrigated [-]
22,`IrrFr_DecTr`,`MU`,Fraction of `DecTr` that is irrigated [-]
23,`IrrFr_Grass`,`MU`,Fraction of `Grass` that is irrigated [-]
23,`IrrFr_BSoil`,`MU`,Fraction of `BSoil` that is irrigated [-]
23,`IrrFr_Water`,`MU`,Fraction of `Water` that is irrigated [-]
24,`H_Bldgs`,`MU`,Mean building height [m]
25,`H_EveTr`,`MU`,Mean height of evergreen trees [m]
26,`H_DecTr`,`MU`,Mean height of deciduous trees [m]
27,`z0`,`O`,Roughness length for momentum [m]
28,`zd`,`O`,Zero-plane displacement [m]
29,`FAI_Bldgs`,`O`,Frontal area index for buildings [-]
30,`FAI_EveTr`,`O`,Frontal area index for evergreen trees [-]
31,`FAI_DecTr`,`O`,Frontal area index for deciduous trees [-]
32,`PopDensDay`,`O`,"Daytime population density (i.e. workers, tourists) [people |ha^-1|]"
33,`PopDensNight`,`O`,Night-time population density (i.e. residents) [people |ha^-1|]
34,`TrafficRate_WD`,`O`,Weekday traffic rate [veh km |m^-2| s-1] Can be used for CO2 flux calculation - not used in v2018a.
35,`TrafficRate_WE`,`O`,Weekend traffic rate [veh km |m^-2| s-1] Can be used for CO2 flux calculation - not used in v2018a.
36,`QF0_BEU_WD`,`O`,Building energy use [W |m^-2|]
37,`QF0_BEU_WE`,`O`,Building energy use [W |m^-2|]
38,`Code_Paved`,`L`,Code for `Paved` surface characteristics linking to `Code` of `SUEWS_NonVeg.txt`
39,`Code_Bldgs`,`L`,Code for `Bldgs` surface characteristics linking to `Code` of `SUEWS_NonVeg.txt`
40,`Code_EveTr`,`L`,Code for `EveTr` surface characteristics linking to `Code` of `SUEWS_Veg.txt`
41,`Code_DecTr`,`L`,Code for `DecTr` surface characteristics linking to `Code` of `SUEWS_Veg.txt`
42,`Code_Grass`,`L`,Code for `Grass` surface characteristics linking to `Code` of `SUEWS_Veg.txt`
43,`Code_BSoil`,`L`,Code for `BSoil` surface characteristics linking to `Code` of `SUEWS_NonVeg.txt`
44,`Code_Water`,`L`,Code for `Water` surface characteristics linking to `Code` of `SUEWS_Water.txt`
45,`LUMPS_DrRate`,`MD`,Drainage rate of bucket for LUMPS [mm |h^-1|]
46,`LUMPS_Cover`,`MD`,Limit when surface totally covered with water for LUMPS [mm]
47,`LUMPS_MaxRes`,`MD`,Maximum water bucket reservoir [mm] Used for LUMPS surface wetness control.
48,`NARP_Trans`,`MD`,Atmospheric transmissivity for NARP [-]
49,`CondCode`,`L`,Code for surface conductance parameters linking to `Code` of `SUEWS_Conductance.txt`
50,`SnowCode`,`L`,Code for snow surface characteristics linking to `Code` of SUEWS_Snow.txt
51,`SnowClearingProfWD`,`L`,Code for snow clearing profile (weekdays) linking to `Code` of `SUEWS_Profiles.txt`.
