"Column","Name","Description"
1,"iy","Year [YYYY]"
2,"id","Day of year [DOY]"
3,"it","Hour [H]"
4,"imin","Minute [M]"
5,"dectime","Decimal time [-]"
6,"SWE_Paved","Snow water equivalent – paved surface [mm]"
7,"SWE_Bldgs","Snow water equivalent – building surface [mm]"
8,"SWE_EveTr","Snow water equivalent – evergreen surface [mm]"
9,"SWE_DecTr","Snow water equivalent – deciduous surface [mm]"
10,"SWE_Grass","Snow water equivalent – grass surface [mm]"
11,"SWE_BSoil","Snow water equivalent – bare soil surface [mm]"
12,"SWE_Water","Snow water equivalent – water surface [mm]"
13,"Mw_Paved","Meltwater – paved surface [mm |h^-1|]"
14,"Mw_Bldgs","Meltwater – building surface [mm |h^-1|]"
15,"Mw_EveTr","Meltwater – evergreen surface [mm |h^-1|]"
16,"Mw_DecTr","Meltwater – deciduous surface [mm |h^-1|]"
17,"Mw_Grass","Meltwater – grass surface [mm |h^-1| 1]"
18,"Mw_BSoil","Meltwater – bare soil surface [mm |h^-1|]"
19,"Mw_Water","Meltwater – water surface [mm |h^-1|]"
20,"Qm_Paved","Snowmelt-related heat – paved surface [W |m^-2|]"
21,"Qm_Bldgs","Snowmelt-related heat – building surface [W |m^-2|]"
22,"Qm_EveTr","Snowmelt-related heat – evergreen surface [W |m^-2|]"
23,"Qm_DecTr","Snowmelt-related heat – deciduous surface [W |m^-2|]"
24,"Qm_Grass","Snowmelt-related heat – grass surface [W |m^-2|]"
25,"Qm_BSoil","Snowmelt-related heat – bare soil surface [W |m^-2|]"
26,"Qm_Water","Snowmelt-related heat – water surface [W |m^-2|]"
27,"Qa_Paved","Advective heat – paved surface [W |m^-2|]"
28,"Qa_Bldgs","Advective heat – building surface [W |m^-2|]"
29,"Qa_EveTr","Advective heat – evergreen surface [W |m^-2|]"
30,"Qa_DecTr","Advective heat – deciduous surface [W |m^-2|]"
31,"Qa_Grass","Advective heat – grass surface [W |m^-2|]"
32,"Qa_BSoil","Advective heat – bare soil surface [W |m^-2|]"
33,"Qa_Water","Advective heat – water surface [W |m^-2|]"
34,"QmFr_Paved","Heat related to freezing of surface store – paved surface [W |m^-2|]"
35,"QmFr_Bldgs","Heat related to freezing of surface store – building surface [W |m^-2|]"
36,"QmFr_EveTr","Heat related to freezing of surface store – evergreen surface [W |m^-2|]"
37,"QmFr_DecTr","Heat related to freezing of surface store – deciduous surface [W |m^-2|]"
38,"QmFr_Grass","Heat related to freezing of surface store – grass surface [W |m^-2|]"
39,"QmFr_BSoil","Heat related to freezing of surface store – bare soil surface [W |m^-2|]"
