No.,Column Name,Use,Description
1,`Code`,`L`,Code linking to a corresponding look-up table.
2,`Surf_thick1`,`MU`,Thickness of the first layer [m] for roofs (building surfaces) and ground (all other surfaces)
3,`Surf_k1`,`MU`,Thermal conductivity of the first layer [W |m^-1| |K^-1|]
4,`Surf_rhoCp1`,`MU`,Volumetric heat capacity of the first layer [J |m^-3| |K^-1|]
5,`Surf_thick2`,`O`,"Thickness of the second layer [m] (if no second layer, set to -999.)"
6,`Surf_k2`,`O`,Thermal conductivity of the second layer [W |m^-1| |K^-1|]
7,`Surf_rhoCp2`,`O`,Volumetric heat capacity of the second layer [J |m^-3| |K^-1|]
8,`Surf_thick3`,`O`,"Thickness of the third layer [m] (if no third layer, set to -999.)"
9,`Surf_k3`,`O`,Thermal conductivity of the third layer[W |m^-1| |K^-1|]
10,`Surf_rhoCp3`,`O`,Volumetric heat capacity of the third layer[J |m^-3| |K^-1|]
11,`Surf_thick4`,`O`,"Thickness of the fourth layer [m] (if no fourth layer, set to -999.)"
12,`Surf_k4`,`O`,Thermal conductivity of the fourth layer[W |m^-1| |K^-1|]
13,`Surf_rhoCp4`,`O`,Volumetric heat capacity of the fourth layer [J |m^-3| |K^-1|]
14,`Surf_thick5`,`O`,"Thickness of the fifth layer [m] (if no fifth layer, set to -999.)"
15,`Surf_k5`,`O`,Thermal conductivity of the fifth layer [W |m^-1| |K^-1|]
16,`Surf_rhoCp5`,`O`,Volumetric heat capacity of the fifth layer [J |m^-3| |K^-1|]
17,`Wall_thick1`,`MU`,Thickness of the first layer [m] for building surfaces only; set to -999 for all other surfaces
18,`Wall_k1`,`MU`,Thermal conductivity of the first layer [W |m^-1| |K^-1|]
19,`Wall_rhoCp1`,`MU`,Volumetric heat capacity of the first layer [J |m^-3| |K^-1|]
20,`Wall_thick2`,`O`,"Thickness of the second layer [m] (if no second layer, set to -999.)"
21,`Wall_k2`,`O`,Thermal conductivity of the second layer [W |m^-1| |K^-1|]
22,`Wall_rhoCp2`,`O`,Volumetric heat capacity of the second layer [J |m^-3| |K^-1|]
23,`Wall_thick3`,`O`,"Thickness of the third layer [m] (if no third layer, set to -999.)"
24,`Wall_k3`,`O`,Thermal conductivity of the third layer [W |m^-1| |K^-1|]
25,`Wall_rhoCp3`,`O`,Volumetric heat capacity of the third layer [J |m^-3| |K^-1|]
26,`Wall_thick4`,`O`,"Thickness of the fourth layer [m] (if no fourth layer, set to -999.)"
27,`Wall_k4`,`O`,Thermal conductivity of the fourth layer[W |m^-1| |K^-1|]
28,`Wall_rhoCp4`,`O`,Volumetric heat capacity of the fourth layer [J |m^-3| |K^-1|]
29,`Wall_thick5`,`O`,"Thickness of the fifth layer [m] (if no fifth layer, set to -999.)"
30,`Wall_k5`,`O`,Thermal conductivity of the fifth layer[W |m^-1| |K^-1|]
31,`Wall_rhoCp5`,`O`,Volumetric heat capacity of the fifth layer [J |m^-3| |K^-1|]
32,`Internal_thick1`,`MU`,Thickness of the first layer [m] for building surfaces only
33,`Internal_k1`,`MU`,Thermal conductivity of the first layer [W |m^-1| |K^-1|]
34,`Internal_rhoCp1`,`MU`,Volumetric heat capacity of the first layer[J |m^-3| |K^-1|]
35,`Internal_thick2`,`O`,Thickness of the second layer [m]
36,`Internal_k2`,`O`,Thermal conductivity of the second layer [W |m^-1| |K^-1|]
37,`Internal_rhoCp2`,`O`,Volumetric heat capacity of the second layer [J |m^-3| |K^-1|]
38,`Internal_thick3`,`O`,Thickness of the third layer [m]
39,`Internal_k3`,`O`,Thermal conductivity of the third layer [W |m^-1| |K^-1|]
40,`Internal_rhoCp3`,`O`,Volumetric heat capacity of the third layer[J |m^-3| |K^-1|]
41,`Internal_thick4`,`O`,Thickness of the fourth layer [m]
42,`Internal_k4`,`O`,Thermal conductivity of the fourth layer [W |m^-1| |K^-1|]
43,`Internal_rhoCp4`,`O`,Volumetric heat capacity of the fourth layer [J |m^-3| |K^-1|]
44,`Internal_thick5`,`O`,Thickness of the fifth layer [m]
45,`Internal_k5`,`O`,Thermal conductivity of the fifth layer [W |m^-1| |K^-1|]
46,`Internal_rhoCp5`,`O`,Volumetric heat capacity of the fifth layer [J |m^-3| |K^-1|]
47,`nroom`,`MU`,Number of rooms per floor for building surfaces only [-]
48,`Internal_albedo`,`MU`,Albedo of all internal elements for building surfaces only
49,`Internal_emissivity`,`MU`,Emissivity of all internal elements for building surfaces only
50,`Internal_CHwall`,`O`,Bulk transfer coefficient of internal wall [W |m^-2| |K^-1|]
51,`Internal_CHroof`,`O`,Bulk transfer coefficient of internal roof [W |m^-2| |K^-1|]
52,`Internal_CHbld`,`O`,Bulk transfer coefficient of internal building elements [W |m^-2| |K^-1|]
