No.,Column Name,Use,Description
1,`Code`,`L`,Code linking to a corresponding look-up table.
2,`AlbedoMin`,`MU`,Effective surface albedo (middle of the day value) for wintertime (not including snow).
3,`AlbedoMax`,`MU`,Effective surface albedo (middle of the day value) for summertime.
4,`Emissivity`,`MU`,Effective surface emissivity.
5,`StorageMin`,`MD`,Minimum water storage capacity for upper surfaces (i.e. canopy).
6,`StorageMax`,`MD`,Maximum water storage capacity for upper surfaces (i.e. canopy)
7,`WetThreshold`,`MD`,Depth of water which determines whether evaporation occurs from a partially wet or completely wet surface [mm].
8,`StateLimit`,`MD`,Upper limit to the surface state. [mm]
9,`DrainageEq`,`MD`,Calculation choice for Drainage equation
10,`DrainageCoef1`,`MD`,Coefficient D0 [mm |h^-1|] used in :option:`DrainageEq`
11,`DrainageCoef2`,`MD`,Coefficient b [-] used in :option:`DrainageEq`
12,`SoilTypeCode`,`L`,Code for soil characteristics below this surface linking to `Code` of `SUEWS_Soil.txt`
13,`SnowLimPatch`,`O`,Limit for the snow water equivalent when snow cover starts to be patchy [mm]
14,`SnowLimRemove`,`O`,Limit of the snow water equivalent for snow removal from roads and roofs [mm]
15,`OHMCode_SummerWet`,`L`,"Code for OHM coefficients to use for this surface during wet conditions in summer, linking to `SUEWS_OHMCoefficients.txt`."
16,`OHMCode_SummerDry`,`L`,"Code for OHM coefficients to use for this surface during dry conditions in summer, linking to `SUEWS_OHMCoefficients.txt`."
17,`OHMCode_WinterWet`,`L`,"Code for OHM coefficients to use for this surface during wet conditions in winter, linking to `SUEWS_OHMCoefficients.txt`."
18,`OHMCode_WinterDry`,`L`,"Code for OHM coefficients to use for this surface during dry conditions in winter, linking to `SUEWS_OHMCoefficients.txt`."
19,`OHMThresh_SW`,`MD`,Temperature threshold determining whether summer/winter OHM coefficients are applied [°C]
20,`OHMThresh_WD`,`MD`,Soil moisture threshold determining whether wet/dry OHM coefficients are applied [-]
21,`ESTMCode`,`L`,Code for ESTM coefficients linking to `SUEWS_ESTMCoefficients.txt`
22,`AnOHM_Cp`,`MU`,Volumetric heat capacity for this surface to use in AnOHM [J |m^-3|]
23,`AnOHM_Kk`,`MU`,Thermal conductivity for this surface to use in AnOHM [W m |K^-1|]
24,`AnOHM_Ch`,`MU`,Bulk transfer coefficient for this surface to use in AnOHM [-]
